MBH,k,q,burst,TNCDM1,aev1,N1,a1,b1,c1,d1,e1,pmean_err,prms_err,TNCDM2,aev2,N2,a2,b2,c2,d2,e2,pmean_err,prms_err
10.0,0.25,0.5,false,437.85,9.7207e-23,4.512e9,1.244e-5,-0.055306,0.055472,0.70375,0.78455,0.002595,0.002231,17244.0,1.9141999999999997e-21,3.008e9,0.00040641,-0.20661,0.01116,0.78492,17.022,0.00251,0.008936
10.0,0.5,0.5,false,437.85,9.7207e-23,4.512e9,1.244e-5,-0.055306,0.055472,0.70375,0.78455,0.002595,0.002231,517350.0,5.7428e-20,3.008e9,0.010844,-0.31791,0.0325,1.4264,445.52,0.0001075,0.001032
10.0,1.0,0.5,false,437.85,9.7207e-23,4.512e9,1.244e-5,-0.055306,0.055472,0.70375,0.78455,0.002595,0.002231,4.6688e8,5.1826e-17,3.008e9,0.01079,-0.31803,0.032567,1.4267,443.21,0.0001419,0.001087
10.0,1.5,0.5,false,437.85,9.7207e-23,4.512e9,1.244e-5,-0.055306,0.055472,0.70375,0.78455,0.002595,0.002231,4.3099e11,4.7842e-14,3.008e9,0.010116,-0.3236,0.034669,1.4428,411.18,0.001166,0.002709
1000.0,0.25,0.5,false,4378.5,9.7207e-20,4.512e13,1.2412e-5,-0.054649,0.055479,0.70364,0.78014,0.002606,0.002248,544660.0,6.0461e-18,3.008e13,0.00045097,-0.23656,0.014515,0.71965,18.318,0.04715,0.09945
1000.0,0.5,0.5,false,4378.5,9.7207e-20,4.512e13,1.2412e-5,-0.054649,0.055479,0.70364,0.78014,0.002606,0.002248,5.1838e7,5.7543e-16,3.008e13,0.010858,-0.3196,0.033014,1.4324,444.46,0.0004189,0.001525
1000.0,1.0,0.5,false,4378.5,9.7207e-20,4.512e13,1.2412e-5,-0.054649,0.055479,0.70364,0.78014,0.002606,0.002248,5.5708e11,6.1839e-12,3.008e13,0.00094017,-0.42771,0.11533,1.4028,32.815,0.002702,0.001793
100000.0,0.25,0.5,false,43785.0,9.7207e-17,4.512e17,1.2372e-5,-0.053729,0.055486,0.70348,0.77408,0.002623,0.002273,1.7549e7,1.948e-14,3.008e17,0.009304,-0.32413,0.035434,1.4419,378.85,0.001406,0.003089
100000.0,0.5,0.5,false,43785.0,9.7207e-17,4.512e17,1.2372e-5,-0.053729,0.055486,0.70348,0.77408,0.002623,0.002273,6.1853e9,6.866e-12,3.008e17,0.0011111,-0.41866,0.10522,1.4102,39.418,0.001854,0.0006598
