         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   2.92567e+000  -1.12711e+000  -5.13184e+000   7.34311e-001  -1.35525e-002  -3.13863e-002   5.43084e+000
   1.00000e-003   2.92566e+000  -1.12713e+000  -5.13178e+000   7.34234e-001  -1.35491e-002  -3.13830e-002   5.43086e+000
   1.93070e-003   2.92567e+000  -1.12712e+000  -5.13164e+000   7.34040e-001  -1.35464e-002  -3.13698e-002   5.43085e+000
   3.72759e-003   2.92566e+000  -1.12712e+000  -5.13109e+000   7.33320e-001  -1.35358e-002  -3.13208e-002   5.43083e+000
   7.19686e-003   2.92566e+000  -1.12711e+000  -5.12904e+000   7.30646e-001  -1.34965e-002  -3.11393e-002   5.43075e+000
   1.38950e-002   2.92561e+000  -1.12709e+000  -5.12150e+000   7.20809e-001  -1.33546e-002  -3.04796e-002   5.43045e+000
   2.68270e-002   2.84670e+000  -1.24833e+000  -5.09438e+000   6.85915e-001  -1.28541e-002  -2.82255e-002   5.42952e+000
   5.17947e-002   2.57600e+000  -1.63372e+000  -5.00443e+000   5.75341e-001  -1.13206e-002  -2.18584e-002   5.42799e+000
   1.00000e-001   2.69343e+000  -1.33240e+000  -4.75645e+000   3.07398e-001  -8.67462e-003  -1.00038e-002   5.39563e+000
   1.36364e-001   2.79080e+000  -1.12049e+000  -4.53867e+000   1.09906e-001  -8.21791e-003  -1.90311e-003   5.12249e+000
   1.72727e-001   2.82822e+000  -1.06785e+000  -4.31917e+000  -6.20322e-002  -4.17194e-004  -6.57522e-003   6.49043e+000
   2.09091e-001   2.85162e+000  -9.97412e-001  -4.10217e+000  -2.12828e-001  -4.34968e-003  -4.53598e-003   6.16175e+000
   2.45455e-001   2.86571e+000  -9.45199e-001  -3.89033e+000  -3.44855e-001  -8.61125e-003   1.18174e-003   5.53501e+000
   2.81818e-001   2.87838e+000  -8.50260e-001  -3.68592e+000  -4.58144e-001   3.62586e-003  -1.08773e-002   7.12326e+000
   3.18182e-001   2.88628e+000  -8.09690e-001  -3.48975e+000  -5.53935e-001  -2.62566e-003  -1.10175e-002   6.61496e+000
   3.54545e-001   2.89346e+000  -7.71077e-001  -3.29930e+000  -6.39617e-001  -6.09710e-003  -1.35664e-002   6.39602e+000
   3.90909e-001   2.89958e+000  -7.35265e-001  -3.11089e+000  -7.24335e-001  -7.33099e-003  -1.20584e-002   6.24734e+000
   4.27273e-001   2.90771e+000  -6.97461e-001  -2.92632e+000  -8.04742e-001  -1.50835e-002  -3.99149e-003   5.64318e+000
   4.63636e-001   2.90701e+000  -6.73922e-001  -2.75028e+000  -8.70786e-001  -1.47736e-002  -4.50237e-003   5.57781e+000
   5.00000e-001   2.91140e+000  -6.42965e-001  -2.58403e+000  -9.19572e-001  -2.12486e-003   2.39980e-002   8.57603e+000
