         a/fits             a1             b1             a2             b2             c2             d2             e2
   0.00000e+000   5.03387e+000  -2.13497e+000  -5.12418e+000   6.99801e-001  -8.45947e-003  -3.60198e-002   5.46500e+000
   1.00000e-003   5.03355e+000  -2.13543e+000  -5.12413e+000   6.99736e-001  -8.45665e-003  -3.60155e-002   5.46504e+000
   1.93070e-003   5.03319e+000  -2.13596e+000  -5.12398e+000   6.99562e-001  -8.45316e-003  -3.60023e-002   5.46505e+000
   3.72759e-003   5.03277e+000  -2.13651e+000  -5.12343e+000   6.98913e-001  -8.44064e-003  -3.59538e-002   5.46507e+000
   7.19686e-003   5.03201e+000  -2.13745e+000  -5.12139e+000   6.96507e-001  -8.39386e-003  -3.57732e-002   5.46519e+000
   1.38950e-002   4.92021e+000  -2.30814e+000  -5.11386e+000   6.87685e-001  -8.22292e-003  -3.51168e-002   5.46565e+000
   2.68270e-002   4.64271e+000  -2.69803e+000  -5.08692e+000   6.56702e-001  -7.60479e-003  -3.28749e-002   5.46774e+000
   5.17947e-002   4.67531e+000  -2.51012e+000  -4.99856e+000   5.61286e-001  -5.55740e-003  -2.65498e-002   5.47985e+000
   1.00000e-001   4.89779e+000  -2.00784e+000  -4.75896e+000   3.43826e-001  -5.02574e-004  -1.44113e-002   5.55196e+000
   1.36364e-001   4.96673e+000  -1.82636e+000  -4.55029e+000   1.94075e-001   6.65887e-004  -6.91716e-003   5.48129e+000
   1.72727e-001   4.99185e+000  -1.72612e+000  -4.34064e+000   7.11470e-002   3.40896e-003  -2.39017e-003   5.38973e+000
   2.09091e-001   5.00689e+000  -1.64475e+000  -4.13313e+000  -3.21318e-002   4.64920e-003   3.96048e-003   5.50681e+000
   2.45455e-001   5.01563e+000  -1.57567e+000  -3.92935e+000  -1.20313e-001   6.97874e-003   6.83762e-003   5.29366e+000
   2.81818e-001   5.02039e+000  -1.51294e+000  -3.73173e+000  -1.92877e-001   8.52865e-003   1.01128e-002   5.22773e+000
   3.18182e-001   5.02945e+000  -1.44455e+000  -3.54181e+000  -2.49293e-001   4.20715e-003   1.37330e-002   5.41836e+000
   3.54545e-001   5.03269e+000  -1.38581e+000  -3.35853e+000  -2.93531e-001  -7.89690e-003   1.64953e-002   5.82296e+000
   3.90909e-001   5.03580e+000  -1.32771e+000  -3.17752e+000  -3.36197e-001  -1.32917e-002   1.70072e-002   5.82703e+000
   4.27273e-001   5.03924e+000  -1.26933e+000  -2.99766e+000  -3.80172e-001  -1.21704e-002   2.11385e-002   5.58108e+000
   4.63636e-001   5.04267e+000  -1.21048e+000  -2.82384e+000  -4.14906e-001  -1.44940e-002   2.51634e-002   5.44218e+000
   5.00000e-001   5.04698e+000  -1.14989e+000  -2.65974e+000  -4.32033e-001   4.16800e-002   1.41478e-002   8.66472e+000
   5.36364e-001   5.04545e+000  -1.10144e+000  -2.50084e+000  -4.40932e-001   4.72904e-002  -2.03999e-002   7.95794e+000
   5.72727e-001   5.05303e+000  -1.03918e+000  -2.33869e+000  -4.59235e-001   5.11996e-002  -2.35957e-002   7.80206e+000
   6.09091e-001   5.05763e+000  -9.83885e-001  -2.17576e+000  -4.80385e-001   4.07784e-002  -4.35368e-002   7.39062e+000
   6.45455e-001   5.05717e+000  -9.38869e-001  -2.02597e+000  -4.72188e-001  -2.02791e-002   8.82068e-002   8.99557e+000
   6.81818e-001   5.06312e+000  -8.84548e-001  -1.88807e+000  -4.34229e-001   1.51095e-002   8.62246e-002   8.47496e+000
   7.18182e-001   5.05860e+000  -8.46209e-001  -1.74284e+000  -4.06123e-001   4.57403e-003   9.23184e-002   8.24623e+000
   7.54545e-001   5.06127e+000  -7.96348e-001  -1.59933e+000  -3.53621e-001   1.71817e-003   8.74498e-002   7.88714e+000
   7.90909e-001   5.05900e+000  -7.56792e-001  -1.48385e+000  -2.22498e-001   2.34174e-001  -2.76008e-001   9.70033e+000
   8.27273e-001   5.06334e+000  -7.09148e-001  -1.37885e+000  -1.72984e-002   1.01458e-001  -3.45522e-001   9.17362e+000
   8.63636e-001   5.06037e+000  -6.64936e-001  -1.23410e+000   1.38211e-001  -4.01163e-002  -3.71377e-001   8.61815e+000
   9.00000e-001   5.06478e+000  -6.17553e-001  -1.13051e+000   3.19406e-001  -1.23391e-001  -3.17822e-001   8.17840e+000
   9.30481e-001   5.06506e+000  -6.04062e-001  -1.02167e+000   3.92503e-001  -1.27151e-001  -3.11862e-001   7.89572e+000
   9.51671e-001   5.06459e+000  -5.82468e-001  -9.20038e-001   3.91279e-001  -1.71582e-001  -3.09133e-001   7.60026e+000
   9.66402e-001   5.06684e+000  -5.74856e-001  -8.23023e-001   3.58015e-001  -1.05982e-001  -3.58371e-001   7.46058e+000
   9.76643e-001   5.06556e+000  -5.64200e-001  -7.85094e-001   4.56525e-001  -2.83770e-002  -4.19347e-001   7.34382e+000
   9.83762e-001   5.06401e+000  -5.65075e-001  -7.64052e-001   5.57536e-001  -2.92232e-002  -4.54766e-001   7.18869e+000
   9.88712e-001   5.06848e+000  -5.53238e-001  -7.35192e-001   5.91667e-001  -3.75554e-002  -4.66291e-001   7.04339e+000
   9.92152e-001   5.06610e+000  -5.52748e-001  -6.83417e-001   5.48035e-001  -1.43155e-001  -4.26670e-001   6.84096e+000
   9.94544e-001   5.06448e+000  -5.54171e-001  -6.28993e-001   5.06781e-001  -2.78278e-001  -3.75639e-001   6.56980e+000
   9.96207e-001   5.06503e+000  -5.53117e-001  -6.33373e-001   5.24080e-001  -2.38381e-001  -3.98934e-001   6.61342e+000
   9.97363e-001   5.06531e+000  -5.51985e-001  -6.19819e-001   5.31556e-001  -2.28077e-001  -3.89917e-001   6.55795e+000
   9.98167e-001   5.06561e+000  -5.50813e-001  -6.07112e-001   5.76764e-001  -1.23953e-001  -4.47879e-001   6.53327e+000
   9.98726e-001   5.06489e+000  -5.51374e-001  -6.03667e-001   5.30900e-001  -2.25023e-001  -3.91605e-001   6.50377e+000
   9.99114e-001   5.06511e+000  -5.50334e-001  -5.93707e-001   5.16705e-001  -2.34906e-001  -3.78297e-001   6.47521e+000
   9.99384e-001   5.06469e+000  -5.50379e-001  -5.54413e-001   4.42616e-001  -9.65414e-002   2.20706e-001   8.48904e+000
   9.99572e-001   5.06577e+000  -5.48415e-001  -5.26977e-001   4.00604e-001  -1.35948e-001   2.37528e-001   8.53210e+000
   9.99702e-001   5.06707e+000  -5.46161e-001  -5.20399e-001   4.67608e-001  -1.10476e-001   1.26191e-001   8.57203e+000
   9.99793e-001   5.06719e+000  -7.68088e-001  -5.28130e-001   4.24008e-001  -1.87888e-001   2.09579e-001   8.56029e+000
   9.99856e-001   5.06651e+000  -5.47417e-001  -5.30057e-001   4.39651e-001  -2.06343e-001   1.86721e-001   8.58803e+000
   9.99900e-001   5.06651e+000  -5.47417e-001  -5.30057e-001   4.39651e-001  -2.06343e-001   1.86721e-001   8.58803e+000
