# Constraint COMPTEL IGRB [arXiv:1502.06116]

nb_lines = 8
nb_columns = 6

         E(GeV)        E-(GeV)        E+(GeV)           flux          flux-          flux+(GeV^-1.cm^-2.s^-1.sr^-1)
    1.02828e-03    2.24296e-04    4.08660e-04    5.82358e+00    3.42450e+00    3.32148e+00
    2.17598e-03    3.66100e-04    9.36740e-04    1.05762e+00    5.70841e-01    5.52509e-01
    3.34710e-03    6.78190e-04    1.59097e-03    2.01842e-01    1.66170e-01    1.62417e-01
    5.06707e-03    7.67430e-04    1.62405e-03    7.04945e-02    3.27550e-02    3.17735e-02
    6.97084e-03    9.16390e-04    3.08766e-03    4.50783e-02    1.71351e-02    1.62461e-02
    1.00599e-02    1.09738e-03    3.05530e-03    2.11345e-02    6.64802e-03    6.45276e-03
    1.40620e-02    2.14900e-03    5.05630e-03    1.27819e-02    3.73202e-03    3.74052e-03
    2.14585e-02    4.42340e-03    1.20605e-02    5.57694e-03    2.11290e-03    2.14280e-03
