# Matter power spectrum P(k) at redshift z=0
# for k=1.04213e-05 to 504.967 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.678693086156e-04       1.111581564452e+03 
       2.741087863535e-04       1.136490595849e+03 
       2.804936001981e-04       1.161953465583e+03 
       2.870271354623e-04       1.187982199941e+03 
       2.937128563130e-04       1.214589067311e+03 
       3.005543076078e-04       1.241786582659e+03 
       3.075551167749e-04       1.269587510915e+03 
       3.147189957358e-04       1.298004871593e+03 
       3.220497428741e-04       1.327051941107e+03 
       3.295512450489e-04       1.356742258251e+03 
       3.372274796559e-04       1.387089626722e+03 
       3.450825167364e-04       1.418108119460e+03 
       3.531205211350e-04       1.449812080437e+03 
       3.613457547080e-04       1.482216132954e+03 
       3.697625785831e-04       1.515335177285e+03 
       3.783754554717e-04       1.549184399560e+03 
       3.871889520352e-04       1.583779270611e+03 
       3.962077413062e-04       1.619135553247e+03 
       4.054366051660e-04       1.655269305542e+03 
       4.148804368805e-04       1.692196881836e+03 
       4.245442436942e-04       1.729934934106e+03 
       4.344331494854e-04       1.768500422855e+03 
       4.445523974828e-04       1.807910614360e+03 
       4.549073530458e-04       1.848183082848e+03 
       4.655035065087e-04       1.889335718929e+03 
       4.763464760925e-04       1.931386731943e+03 
       4.874420108831e-04       1.974354639901e+03 
       4.987959938799e-04       2.018258294667e+03 
       5.104144451150e-04       2.063116864656e+03 
       5.223035248451e-04       2.108949848777e+03 
       5.344695368175e-04       2.155777075566e+03 
       5.469189316129e-04       2.203618702325e+03 
       5.596583100652e-04       2.252495220358e+03 
       5.726944267614e-04       2.302427458716e+03 
       5.860341936231e-04       2.353436585325e+03 
       5.996846835715e-04       2.405544099002e+03 
       6.136531342768e-04       2.458771841105e+03 
       6.279469519966e-04       2.513142001661e+03 
       6.425737155021e-04       2.568677099799e+03 
       6.575411800971e-04       2.625400000773e+03 
       6.728572817294e-04       2.683333920287e+03 
       6.885301411988e-04       2.742502402629e+03 
       7.045680684628e-04       2.802929328401e+03 
       7.209795670428e-04       2.864638928829e+03 
       7.377733385325e-04       2.927655770820e+03 
       7.549582872119e-04       2.992004729545e+03 
       7.725435247682e-04       3.057711053516e+03 
       7.905383751272e-04       3.124800284036e+03 
       8.089523793966e-04       3.193298292910e+03 
       8.277953009254e-04       3.263231272115e+03 
       8.470771304799e-04       3.334625697009e+03 
       8.668080915414e-04       3.407508341364e+03 
       8.869986457266e-04       3.481906401588e+03 
       9.076594983345e-04       3.557847130221e+03 
       9.288016040228e-04       3.635358200649e+03 
       9.504361726156e-04       3.714467525026e+03 
       9.725746750477e-04       3.795203240317e+03 
       9.952288494460e-04       3.877593715088e+03 
       1.018410707354e-03       3.961667560766e+03 
       1.042132540099e-03       4.047453533058e+03 
       1.066406925311e-03       4.134980624746e+03 
       1.091246733590e-03       4.224277951704e+03 
       1.116665135332e-03       4.315374756264e+03 
       1.142675607710e-03       4.408300518089e+03 
       1.169291941819e-03       4.503084643302e+03 
       1.196528249994e-03       4.599756716241e+03 
       1.224398973285e-03       4.698346339382e+03 
       1.252918889118e-03       4.798883162915e+03 
       1.282103119131e-03       4.901396821189e+03 
       1.311967137188e-03       5.005916894530e+03 
       1.342526777587e-03       5.112472879116e+03 
       1.373798243454e-03       5.221094220135e+03 
       1.405798115334e-03       5.331810247877e+03 
       1.438543359983e-03       5.444650107600e+03 
       1.472051339363e-03       5.559642697100e+03 
       1.506339819847e-03       5.676816720969e+03 
       1.541426981643e-03       5.796200595111e+03 
       1.577331428428e-03       5.917822365614e+03 
       1.614072197215e-03       6.041709759731e+03 
       1.651668768445e-03       6.167889997191e+03 
       1.690141076319e-03       6.296389912976e+03 
       1.729509519363e-03       6.427235320621e+03 
       1.769794971247e-03       6.560453047129e+03 
       1.811018791850e-03       6.696066953306e+03 
       1.853202838589e-03       6.834101747061e+03 
       1.896369478003e-03       6.974580816323e+03 
       1.940541597616e-03       7.117527149848e+03 
       1.985742618070e-03       7.262962426815e+03 
       2.031996505544e-03       7.410907542957e+03 
       2.079327784462e-03       7.561382347183e+03 
       2.127761550495e-03       7.714405590051e+03 
       2.177323483866e-03       7.869994762967e+03 
       2.228039862968e-03       8.028167116380e+03 
       2.279937578297e-03       8.188936921156e+03 
       2.333044146709e-03       8.352318257633e+03 
       2.387387726009e-03       8.518323466542e+03 
       2.442997129882e-03       8.686963415299e+03 
       2.499901843170e-03       8.858246840522e+03 
       2.558132037506e-03       9.032181688793e+03 
       2.617718587309e-03       9.208772929524e+03 
       2.678693086156e-03       9.388024365618e+03 
       2.741087863535e-03       9.569937728640e+03 
       2.804936001981e-03       9.754512083007e+03 
       2.870271354623e-03       9.941744494482e+03 
       2.937128563130e-03       1.013162966830e+04 
       3.005543076078e-03       1.032415941594e+04 
       3.075551167749e-03       1.051932316697e+04 
       3.147189957358e-03       1.071710753870e+04 
       3.220497428741e-03       1.091749553592e+04 
       3.295512450489e-03       1.112046105276e+04 
       3.372274796559e-03       1.132597028867e+04 
       3.450825167364e-03       1.153399522412e+04 
       3.531205211350e-03       1.174450490101e+04 
       3.613457547080e-03       1.195746667966e+04 
       3.697625785831e-03       1.217284218601e+04 
       3.783754554717e-03       1.239059021550e+04 
       3.871889520352e-03       1.261066619286e+04 
       3.962077413062e-03       1.283302132011e+04 
       4.054366051660e-03       1.305760119145e+04 
       4.148804368805e-03       1.328435004370e+04 
       4.245442436942e-03       1.351320471217e+04 
       4.344331494854e-03       1.374409913401e+04 
       4.445523974828e-03       1.397696100137e+04 
       4.549073530458e-03       1.421171543324e+04 
       4.655035065087e-03       1.444827860760e+04 
       4.763464760925e-03       1.468656017001e+04 
       4.874420108831e-03       1.492646134472e+04 
       4.987959938799e-03       1.516790547197e+04 
       5.104144451150e-03       1.541077557761e+04 
       5.223035248451e-03       1.565495539247e+04 
       5.344695368175e-03       1.590033235671e+04 
       5.469189316129e-03       1.614677479458e+04 
       5.596583100652e-03       1.639414631073e+04 
       5.726944267614e-03       1.664231102552e+04 
       5.860341936231e-03       1.689112433312e+04 
       5.996846835715e-03       1.714042594608e+04 
       6.136531342768e-03       1.739005742487e+04 
       6.279469519966e-03       1.763984958637e+04 
       6.425737155021e-03       1.788962568896e+04 
       6.575411800971e-03       1.813920028397e+04 
       6.728572817294e-03       1.838837991775e+04 
       6.885301411988e-03       1.863696525636e+04 
       7.045680684628e-03       1.888474249889e+04 
       7.209795670428e-03       1.913149216973e+04 
       7.377733385325e-03       1.937698338385e+04 
       7.549582872119e-03       1.962097821300e+04 
       7.725435247682e-03       1.986322975602e+04 
       7.905383751272e-03       2.010347479813e+04 
       8.089523793966e-03       2.034145295426e+04 
       8.277953009254e-03       2.057688647507e+04 
       8.470771304799e-03       2.080948806260e+04 
       8.668080915414e-03       2.103896485035e+04 
       8.869986457266e-03       2.126501588207e+04 
       9.076594983345e-03       2.148731996109e+04 
       9.288016040228e-03       2.170554832071e+04 
       9.504361726156e-03       2.191936803457e+04 
       9.725746750477e-03       2.212843061425e+04 
       9.952288494460e-03       2.233237689683e+04 
       1.018410707354e-02       2.253084613644e+04 
       1.042132540099e-02       2.272346287609e+04 
       1.066406925311e-02       2.290984158675e+04 
       1.091246733590e-02       2.308959076852e+04 
       1.116665135332e-02       2.326230114391e+04 
       1.142675607710e-02       2.342757214529e+04 
       1.169291941819e-02       2.358497456918e+04 
       1.196528249994e-02       2.373407927882e+04 
       1.224398973285e-02       2.387444912418e+04 
       1.252918889118e-02       2.400566460330e+04 
       1.282103119131e-02       2.412727617244e+04 
       1.311967137188e-02       2.423883950553e+04 
       1.342526777587e-02       2.433988816771e+04 
       1.373798243454e-02       2.442996836410e+04 
       1.405798115334e-02       2.450862578011e+04 
       1.438543359983e-02       2.457542353355e+04 
       1.472051339363e-02       2.462987997427e+04 
       1.506339819849e-02       2.467157914326e+04 
       1.541426981647e-02       2.470005751554e+04 
       1.577331428438e-02       2.471490118021e+04 
       1.614072197237e-02       2.471568416072e+04 
       1.651668768495e-02       2.470198218143e+04 
       1.690141076429e-02       2.467342138922e+04 
       1.729509519601e-02       2.462962215663e+04 
       1.769794971752e-02       2.457023806876e+04 
       1.811018792901e-02       2.449492625064e+04 
       1.853202840732e-02       2.440342518720e+04 
       1.896369482293e-02       2.429542915758e+04 
       1.940541606046e-02       2.417075426038e+04 
       1.985742634338e-02       2.402917600351e+04 
       2.031996536382e-02       2.387056444200e+04 
       2.079327841906e-02       2.369485234938e+04 
       2.127761655686e-02       2.350196678769e+04 
       2.177323673295e-02       2.329194824088e+04 
       2.228040198546e-02       2.306480397355e+04 
       2.279938163323e-02       2.282080133204e+04 
       2.333045150724e-02       2.256003113812e+04 
       2.387389422841e-02       2.228281026147e+04 
       2.442999954876e-02       2.198953795945e+04 
       2.499906477869e-02       2.168065340199e+04 
       2.558139532906e-02       2.135659764212e+04 
       2.617730540378e-02       2.101809461041e+04 
       2.678711888673e-02       2.066566596189e+04 
       2.741117047432e-02       2.030026117723e+04 
       2.804980711367e-02       1.992254942488e+04 
       2.870338981281e-02       1.953359225150e+04 
       2.937229589581e-02       1.913436274879e+04 
       3.005692177848e-02       1.872587296822e+04 
       3.075768634097e-02       1.830932648872e+04 
       3.147503496955e-02       1.788587266600e+04 
       3.220944433133e-02       1.745676262884e+04 
       3.296142793193e-02       1.702334096582e+04 
       3.373154248684e-02       1.658688847226e+04 
       3.452039511231e-02       1.614871106315e+04 
       3.532865131259e-02       1.571014628293e+04 
       3.615704370614e-02       1.527255509196e+04 
       3.700638139748e-02       1.483720970583e+04 
       3.787755986313e-02       1.440543835625e+04 
       3.877157118206e-02       1.397837776441e+04 
       3.968951440460e-02       1.355727961453e+04 
       4.063260581978e-02       1.314323805985e+04 
       4.160218885160e-02       1.273721048947e+04 
       4.259974328985e-02       1.234019871448e+04 
       4.362689354262e-02       1.195293801633e+04 
       4.468541558669e-02       1.157614060786e+04 
       4.577724228881e-02       1.121039544452e+04 
       4.690446677877e-02       1.085605978698e+04 
       4.806934357456e-02       1.051334518188e+04 
       4.927428719465e-02       1.018218835064e+04 
       5.052186804404e-02       9.862485870683e+03 
       5.181480543204e-02       9.553641092514e+03 
