# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.931 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218397e-05       4.836821228709e+01 
       1.066329849141e-05       4.945618000077e+01 
       1.091167862086e-05       5.056860922623e+01 
       1.116584426674e-05       5.170605884299e+01 
       1.142593019106e-05       5.286909317377e+01 
       1.169207429480e-05       5.405829723264e+01 
       1.196441769109e-05       5.527423281872e+01 
       1.224310478001e-05       5.651753716259e+01 
       1.252828332515e-05       5.778878848938e+01 
       1.282010453193e-05       5.908864347456e+01 
       1.311872312783e-05       6.041773432843e+01 
       1.342429744438e-05       6.177671969996e+01 
       1.373698950113e-05       6.316627319327e+01 
       1.405696509154e-05       6.458708392809e+01 
       1.438439387091e-05       6.603984405217e+01 
       1.471944944630e-05       6.752529604636e+01 
       1.506230946863e-05       6.904413187468e+01 
       1.541315572682e-05       7.059715063819e+01 
       1.577217424418e-05       7.218511633668e+01 
       1.613955537710e-05       7.380876011839e+01 
       1.651549391592e-05       7.546895723991e+01 
       1.690018918821e-05       7.716647015037e+01 
       1.729384516452e-05       7.890219298806e+01 
       1.769667056644e-05       8.067692713296e+01 
       1.810887897734e-05       8.249159619097e+01 
       1.853068895557e-05       8.434707946236e+01 
       1.896232415037e-05       8.624429945226e+01 
       1.940401342043e-05       8.818417917163e+01 
       1.985599095525e-05       9.016770244906e+01 
       2.031849639930e-05       9.219582821664e+01 
       2.079177497908e-05       9.426957202673e+01 
       2.127607763317e-05       9.638996608643e+01 
       2.177166114525e-05       9.855805500564e+01 
       2.227878828024e-05       1.007748979260e+02 
       2.279772792368e-05       1.030416044694e+02 
       2.332875522422e-05       1.053592838705e+02 
       2.387215173958e-05       1.077291047752e+02 
       2.442820558578e-05       1.101522159843e+02 
       2.499721158992e-05       1.126298256764e+02 
       2.557947144652e-05       1.151631690866e+02 
       2.617529387747e-05       1.177534786267e+02 
       2.678499479571e-05       1.204020521315e+02 
       2.740889747272e-05       1.231101972183e+02 
       2.804733270998e-05       1.258792447581e+02 
       2.870063901429e-05       1.287105705704e+02 
       2.936916277730e-05       1.316055743153e+02 
       3.005325845916e-05       1.345656874788e+02 
       3.075328877647e-05       1.375923751940e+02 
       3.146962489454e-05       1.406871312897e+02 
       3.220264662429e-05       1.438514798995e+02 
       3.295274262353e-05       1.470870074872e+02 
       3.372031060309e-05       1.503952894774e+02 
       3.450575753767e-05       1.537779725036e+02 
       3.530949988164e-05       1.572367311162e+02 
       3.613196378982e-05       1.607732732395e+02 
       3.697358534346e-05       1.643893482892e+02 
       3.783481078146e-05       1.680867390475e+02 
       3.871609673694e-05       1.718672798507e+02 
       3.961791047937e-05       1.757328356313e+02 
       4.054073016235e-05       1.796853257466e+02 
       4.148504507707e-05       1.837266811549e+02 
       4.245135591182e-05       1.878589261765e+02 
       4.344017501738e-05       1.920840882030e+02 
       4.445202667874e-05       1.964042592321e+02 
       4.548744739303e-05       2.008215753503e+02 
       4.654698615403e-05       2.053382163504e+02 
       4.763120474320e-05       2.099564169743e+02 
       4.874067802761e-05       2.146784570781e+02 
       4.987599426467e-05       2.195066715821e+02 
       5.103775541407e-05       2.244434430446e+02 
       5.222657745696e-05       2.294912141277e+02 
       5.344309072251e-05       2.346524714025e+02 
       5.468794022217e-05       2.399297742521e+02 
       5.596178599162e-05       2.453257164867e+02 
       5.726530344074e-05       2.508429738106e+02 
       5.859918371174e-05       2.564842648588e+02 
       5.996413404559e-05       2.622523763323e+02 
       6.136087815704e-05       2.681501562849e+02 
       6.279015661829e-05       2.741805174115e+02 
       6.425272725171e-05       2.803464282254e+02 
       6.574936553160e-05       2.866509418990e+02 
       6.728086499539e-05       2.930971623731e+02 
       6.884803766437e-05       2.996882752068e+02 
       7.045171447423e-05       3.064275274525e+02 
       7.209274571565e-05       3.133182449186e+02 
       7.377200148510e-05       3.203638271908e+02 
       7.549037214623e-05       3.275677487078e+02 
       7.724876880190e-05       3.349335584077e+02 
       7.904812377730e-05       3.424648878732e+02 
       8.088939111425e-05       3.501654499975e+02 
       8.277354707707e-05       3.580390387081e+02 
       8.470159067019e-05       3.660895333412e+02 
       8.667454416784e-05       3.743208977705e+02 
       8.869345365608e-05       3.827371871233e+02 
       9.075938958744e-05       3.913425438316e+02 
       9.287344734851e-05       4.001412044317e+02 
       9.503674784068e-05       4.091374983709e+02 
       9.725043807452e-05       4.183358511064e+02 
       9.951569177789e-05       4.277407873325e+02 
       1.018337100183e-04       4.373569308499e+02 
       1.042057218397e-04       4.471890094649e+02 
       1.066329849141e-04       4.572418538852e+02 
       1.091167862086e-04       4.675204028664e+02 
       1.116584426674e-04       4.780297037293e+02 
       1.142593019106e-04       4.887749156003e+02 
       1.169207429480e-04       4.997613124273e+02 
       1.196441769109e-04       5.109942814743e+02 
       1.224310478001e-04       5.224793317259e+02 
       1.252828332515e-04       5.342220925607e+02 
       1.282010453193e-04       5.462283165530e+02 
       1.311872312783e-04       5.585038829522e+02 
       1.342429744438e-04       5.710548004584e+02 
       1.373698950113e-04       5.838872091543e+02 
       1.405696509154e-04       5.970073826608e+02 
       1.438439387091e-04       6.104217326673e+02 
       1.471944944630e-04       6.241368114687e+02 
       1.506230946863e-04       6.381593127965e+02 
       1.541315572682e-04       6.524960783677e+02 
       1.577217424418e-04       6.671540944296e+02 
       1.613955537710e-04       6.821405035582e+02 
       1.651549391592e-04       6.974626003970e+02 
       1.690018918821e-04       7.131278388388e+02 
       1.729384516452e-04       7.291438322272e+02 
       1.769667056644e-04       7.455183598222e+02 
       1.810887897734e-04       7.622593663169e+02 
       1.853068895557e-04       7.793749688810e+02 
       1.896232415037e-04       7.968734575509e+02 
       1.940401342043e-04       8.147632996701e+02 
       1.985599095525e-04       8.330531442210e+02 
       2.031849639930e-04       8.517518232210e+02 
       2.079177497908e-04       8.708683568657e+02 
       2.127607763317e-04       8.904119554347e+02 
       2.177166114525e-04       9.103920247024e+02 
       2.227878828024e-04       9.308181686442e+02 
       2.279772792368e-04       9.517001925623e+02 
       2.332875522422e-04       9.730481075857e+02 
       2.387215173958e-04       9.948721328866e+02 
       2.442820558578e-04       1.017182701545e+03 
       2.499721158992e-04       1.039990461829e+03 
       2.557947144652e-04       1.063306283036e+03 
       2.617529387747e-04       1.087141258141e+03 
       2.678499479571e-04       1.111506707219e+03 
       2.740889747272e-04       1.136414182223e+03 
       2.804733270998e-04       1.161875469911e+03 
       2.870063901429e-04       1.187902596027e+03 
       2.936916277730e-04       1.214507829881e+03 
       3.005325845916e-04       1.241703685251e+03 
       3.075328877647e-04       1.269502927963e+03 
       3.146962489454e-04       1.297918578246e+03 
       3.220264662429e-04       1.326963912183e+03 
       3.295274262353e-04       1.356652469128e+03 
       3.372031060309e-04       1.386998053957e+03 
       3.450575753767e-04       1.418014738142e+03 
       3.530949988164e-04       1.449716869101e+03 
       3.613196378982e-04       1.482119069613e+03 
       3.697358534346e-04       1.515236239556e+03 
       3.783481078146e-04       1.549083565680e+03 
       3.871609673694e-04       1.583676523894e+03 
       3.961791047937e-04       1.619030875378e+03 
       4.054073016235e-04       1.655162678772e+03 
       4.148504507707e-04       1.692088289993e+03 
       4.245135591182e-04       1.729824363794e+03 
       4.344017501738e-04       1.768387862318e+03 
       4.445202667874e-04       1.807796058458e+03 
       4.548744739303e-04       1.848066516061e+03 
       4.654698615403e-04       1.889217143664e+03 
       4.763120474320e-04       1.931266139532e+03 
       4.874067802761e-04       1.974232033612e+03 
       4.987599426467e-04       2.018133681045e+03 
       5.103775541407e-04       2.062990248724e+03 
       5.222657745696e-04       2.108821239471e+03 
       5.344309072251e-04       2.155646487691e+03 
       5.468794022217e-04       2.203486159672e+03 
       5.596178599162e-04       2.252360742484e+03 
       5.726530344074e-04       2.302291083587e+03 
       5.859918371174e-04       2.353298336330e+03 
       5.996413404559e-04       2.405404029832e+03 
       6.136087815704e-04       2.458630001493e+03 
       6.279015661829e-04       2.512998444359e+03 
       6.425272725171e-04       2.568531896061e+03 
       6.574936553160e-04       2.625253222683e+03 
       6.728086499539e-04       2.683185641314e+03 
       6.884803766437e-04       2.742352702211e+03 
       7.045171447423e-04       2.802778330284e+03 
       7.209274571565e-04       2.864486773784e+03 
       7.377200148510e-04       2.927502552087e+03 
       7.549037214623e-04       2.991850600750e+03 
       7.724876880190e-04       3.057556179056e+03 
       7.904812377730e-04       3.124644834630e+03 
       8.088939111425e-04       3.193142445150e+03 
       8.277354707707e-04       3.263075254449e+03 
       8.470159067019e-04       3.334469729125e+03 
       8.667454416784e-04       3.407352723018e+03 
       8.869345365608e-04       3.481751306197e+03 
       9.075938958744e-04       3.557692933758e+03 
       9.287344734851e-04       3.635205208959e+03 
       9.503674784068e-04       3.714316109133e+03 
       9.725043807452e-04       3.795053771812e+03 
       9.951569177789e-04       3.877446626460e+03 
       1.018337100183e-03       3.961523274443e+03 
       1.042057218397e-03       4.047312566674e+03 
       1.066329849141e-03       4.134843452290e+03 
       1.091167862086e-03       4.224145262479e+03 
       1.116584426674e-03       4.315247183706e+03 
       1.142593019106e-03       4.408178652050e+03 
       1.169207429480e-03       4.502969247550e+03 
       1.196441769109e-03       4.599648583593e+03 
       1.224310478001e-03       4.698246319963e+03 
       1.252828332515e-03       4.798792225020e+03 
       1.282010453193e-03       4.901315908188e+03 
       1.311872312783e-03       5.005847086817e+03 
       1.342429744438e-03       5.112415300035e+03 
       1.373698950113e-03       5.221050183457e+03 
       1.405696509154e-03       5.331781046017e+03 
       1.438439387091e-03       5.444637165557e+03 
       1.471944944630e-03       5.559647632266e+03 
       1.506230946863e-03       5.676841135674e+03 
       1.541315572682e-03       5.796246281036e+03 
       1.577217424418e-03       5.917891270918e+03 
       1.613955537710e-03       6.041803918104e+03 
       1.651549391592e-03       6.168011637631e+03 
       1.690018918821e-03       6.296541425550e+03 
       1.729384516452e-03       6.427419642714e+03 
       1.769667056644e-03       6.560672080922e+03 
       1.810887897734e-03       6.696324089136e+03 
       1.853068895557e-03       6.834399999827e+03 
       1.896232415037e-03       6.974923817163e+03 
       1.940401342043e-03       7.117918259582e+03 
       1.985599095525e-03       7.263405726885e+03 
       2.031849639930e-03       7.411406951533e+03 
       2.079177497908e-03       7.561942425574e+03 
       2.127607763317e-03       7.715031372953e+03 
       2.177166114525e-03       7.870691192371e+03 
       2.227878828024e-03       8.028939338317e+03 
       2.279772792368e-03       8.189791151917e+03 
       2.332875522422e-03       8.353260543952e+03 
       2.387215173958e-03       8.519361087060e+03 
       2.442820558578e-03       8.688103153195e+03 
       2.499721158992e-03       8.859496196418e+03 
       2.557947144652e-03       9.033549505684e+03 
       2.617529387747e-03       9.210267495033e+03 
       2.678499479571e-03       9.389655498911e+03 
       2.740889747272e-03       9.571715334674e+03 
       2.804733270998e-03       9.756447205835e+03 
       2.870063901429e-03       9.943848303645e+03 
       2.936916277730e-03       1.013391527079e+04 
       3.005325845916e-03       1.032663985113e+04 
       3.075328877647e-03       1.052201236013e+04 
       3.146962489454e-03       1.072002029950e+04 
       3.220264662429e-03       1.092064927637e+04 
       3.295274262353e-03       1.112387252911e+04 
       3.372031060309e-03       1.132965786077e+04 
       3.450575753767e-03       1.153797889650e+04 
       3.530949988164e-03       1.174880596757e+04 
       3.613196378982e-03       1.196210760291e+04 
       3.697358534346e-03       1.217784740097e+04 
       3.783481078146e-03       1.239598480250e+04 
       3.871609673694e-03       1.261647765227e+04 
       3.961791047937e-03       1.283927996965e+04 
       4.054073016235e-03       1.306433855105e+04 
       4.148504507707e-03       1.329159881350e+04 
       4.245135591182e-03       1.352100054219e+04 
       4.344017501738e-03       1.375248073828e+04 
       4.445202667874e-03       1.398596926539e+04 
       4.548744739303e-03       1.422139292515e+04 
       4.654698615403e-03       1.445867279450e+04 
       4.763120474320e-03       1.469771938449e+04 
       4.874067802761e-03       1.493843702026e+04 
       4.987599426467e-03       1.518075518914e+04 
       5.103775541407e-03       1.542455736592e+04 
       5.222657745696e-03       1.566973971734e+04 
       5.344309072251e-03       1.591618062532e+04 
       5.468794022217e-03       1.616376008414e+04 
       5.596178599162e-03       1.641234769343e+04 
       5.726530344073e-03       1.666180906772e+04 
       5.859918371173e-03       1.691200603031e+04 
       5.996413404559e-03       1.716278267814e+04 
       6.136087815704e-03       1.741399319468e+04 
       6.279015661829e-03       1.766546535298e+04 
       6.425272725171e-03       1.791703416818e+04 
       6.574936553160e-03       1.816851770196e+04 
       6.728086499539e-03       1.841973569036e+04 
       6.884803766437e-03       1.867048973434e+04 
       7.045171447423e-03       1.892058220926e+04 
       7.209274571565e-03       1.916979454794e+04 
       7.377200148510e-03       1.941791154078e+04 
       7.549037214623e-03       1.966470217774e+04 
       7.724876880190e-03       1.990992526964e+04 
       7.904812377730e-03       2.015334025437e+04 
       8.088939111425e-03       2.039468345015e+04 
       8.277354707707e-03       2.063370071074e+04 
       8.470159067019e-03       2.087011547435e+04 
       8.667454416784e-03       2.110364171853e+04 
       8.869345365608e-03       2.133399336364e+04 
       9.075938958744e-03       2.156087415099e+04 
       9.287344734851e-03       2.178396081371e+04 
       9.503674784068e-03       2.200293965674e+04 
       9.725043807452e-03       2.221747869880e+04 
       9.951569177789e-03       2.242723850011e+04 
       1.018337100183e-02       2.263186816098e+04 
       1.042057218397e-02       2.283102649082e+04 
       1.066329849141e-02       2.302433415717e+04 
       1.091167862086e-02       2.321142441047e+04 
       1.116584426674e-02       2.339191466956e+04 
       1.142593019106e-02       2.356541969202e+04 
       1.169207429480e-02       2.373152729880e+04 
       1.196441769109e-02       2.388985142254e+04 
       1.224310478001e-02       2.403997061934e+04 
       1.252828332515e-02       2.418148233058e+04 
       1.282010453193e-02       2.431397724719e+04 
       1.311872312783e-02       2.443702431579e+04 
       1.342429744438e-02       2.455020613300e+04 
       1.373698950113e-02       2.465307676784e+04 
       1.405696509154e-02       2.474521309807e+04 
       1.438439387091e-02       2.482621212501e+04 
       1.471944944631e-02       2.489563200604e+04 
       1.506230946865e-02       2.495305911385e+04 
       1.541315572686e-02       2.499809457092e+04 
       1.577217424429e-02       2.503032915296e+04 
       1.613955537736e-02       2.504937403399e+04 
       1.651549391649e-02       2.505486071441e+04 
       1.690018918946e-02       2.504638875915e+04 
       1.729384516721e-02       2.502365881588e+04 
       1.769667057213e-02       2.498635612769e+04 
       1.810887898914e-02       2.493414528774e+04 
       1.853068897957e-02       2.486677402865e+04 
       1.896232419827e-02       2.478399661764e+04 
       1.940401351426e-02       2.468564532202e+04 
       1.985599113577e-02       2.457152467744e+04 
       2.031849674050e-02       2.444149975299e+04 
       2.079177561283e-02       2.429552533719e+04 
       2.127607879043e-02       2.413362144343e+04 
       2.177166322349e-02       2.395567268753e+04 
       2.227879195197e-02       2.376189461087e+04 
       2.279773430783e-02       2.355243353293e+04 
       2.332876615235e-02       2.332741951736e+04 
       2.387217016195e-02       2.308726026594e+04 
       2.442823618073e-02       2.283221756858e+04 
       2.499726166293e-02       2.256267990952e+04 
       2.557955223524e-02       2.227934837338e+04 
       2.617542241580e-02       2.198268897503e+04 
       2.678519653464e-02       2.167331929352e+04 
       2.740920990842e-02       2.135203699110e+04 
       2.804781032989e-02       2.101967380382e+04 
       2.870135993999e-02       2.067715295128e+04 
       2.937023755536e-02       2.032535884033e+04 
       3.005484152722e-02       1.996546476826e+04 
       3.075559320725e-02       1.959840048485e+04 
       3.147294109133e-02       1.922560765989e+04 
       3.220736570279e-02       1.884805125271e+04 
       3.295938526214e-02       1.846702148523e+04 
       3.372956217010e-02       1.808390089471e+04 
       3.451851030537e-02       1.769996966204e+04 
       3.532690310836e-02       1.731657417350e+04 
       3.615548238821e-02       1.693492075238e+04 
       3.700506775359e-02       1.655639512252e+04 
       3.787656653009e-02       1.618228379901e+04 
       3.877098398891e-02       1.581386284815e+04 
       3.968943367578e-02       1.545225852629e+04 
       4.063314759600e-02       1.509870067055e+04 
       4.160348598221e-02       1.475421621603e+04 
       4.260194634853e-02       1.441982433102e+04 
       4.363017151698e-02       1.409636131909e+04 
       4.468995629229e-02       1.378470957675e+04 
       4.578325246018e-02       1.348541382963e+04 
       4.691217179347e-02       1.319898593816e+04 
       4.807898677212e-02       1.292568338544e+04 
       4.928612876072e-02       1.266569491918e+04 
       5.053618344125e-02       1.241869137439e+04 
       5.183188337358e-02       1.218413209983e+04 
       5.317609765115e-02       1.196123219763e+04 
       5.457181873426e-02       1.174860927494e+04 
       5.602214667462e-02       1.154451027651e+04 
       5.753027108598e-02       1.134653411261e+04 
       5.909945135697e-02       1.115183983224e+04 
       6.073299573226e-02       1.095693853044e+04 
       6.243423999308e-02       1.075782876879e+04 
       6.420652653554e-02       1.055010301609e+04 
       6.605318466605e-02       1.032907286369e+04 
       6.797751290033e-02       1.009002802312e+04 
       6.998276396851e-02       9.828659175505e+03 
       7.207213309858e-02       9.541356816284e+03 
       7.424874998671e-02       9.225816404731e+03 
       7.651567468092e-02       8.881412275569e+03 
       7.887589742065e-02       8.509706617197e+03 
       8.133234230483e-02       8.114621723863e+03 
       8.388787451662e-02       7.702589266640e+03 
       8.654531072248e-02       7.282351105896e+03 
       8.930743218927e-02       6.864232395568e+03 
       9.217700012466e-02       6.459451121504e+03 
       9.515677273916e-02       6.079095661448e+03 
       9.824952354584e-02       5.732771613909e+03 
       1.014580604499e-01       5.427597951369e+03 
       1.047852452278e-01       5.167350384429e+03 
       1.082340130480e-01       4.951647138173e+03 
       1.118073917411e-01       4.775708344344e+03 
       1.155085205767e-01       4.630432970641e+03 
       1.193406683521e-01       4.503020574067e+03 
       1.233072506400e-01       4.378339316470e+03 
       1.274118460733e-01       4.241296926941e+03 
       1.316582115735e-01       4.079662871280e+03 
       1.360502964474e-01       3.887014255416e+03 
       1.405922552869e-01       3.664814976247e+03 
       1.452884596125e-01       3.422511674578e+03 
       1.501435081958e-01       3.175546294341e+03 
       1.551622359877e-01       2.941662725934e+03 
       1.603497215619e-01       2.736163305203e+03 
       1.657112929585e-01       2.568456655693e+03 
       1.712525317882e-01       2.439461530535e+03 
       1.769792754175e-01       2.341428603407e+03 
       1.828976170223e-01       2.260050330898e+03 
       1.890139032508e-01       2.178859155762e+03 
       1.953347291933e-01       2.081975154473e+03 
       2.018669303074e-01       1.963166264955e+03 
       2.086175709023e-01       1.828044318381e+03 
       2.155939287358e-01       1.690780650005e+03 
       2.228034752398e-01       1.566238369905e+03 
       2.302538508529e-01       1.464031491716e+03 
       2.379528349127e-01       1.385571133174e+03 
       2.459083095528e-01       1.322924490690e+03 
       2.541282170565e-01       1.262801883851e+03 
       2.626205101540e-01       1.194807355876e+03 
       2.713930948186e-01       1.116815703757e+03 
       2.804537652199e-01       1.035645882632e+03 
       2.898101306498e-01       9.619913876601e+02 
       2.994695344417e-01       9.018451012703e+02 
       3.094389651813e-01       8.526595601925e+02 
       3.197249608452e-01       8.071163897078e+02 
       3.303335069276e-01       7.587296652223e+02 
       3.412699301098e-01       7.074617290358e+02 
       3.525387895980e-01       6.584110439679e+02 
       3.641437688918e-01       6.157937870927e+02 
       3.760875714219e-01       5.793259386282e+02 
       3.883718241913e-01       5.449653090542e+02 
       4.009969942086e-01       5.103679590833e+02 
       4.139623230705e-01       4.764249391319e+02 
       4.272657854409e-01       4.454474360587e+02 
       4.409040773157e-01       4.178550475696e+02 
       4.548726397402e-01       3.923653803395e+02 
       4.691657229959e-01       3.676936601838e+02 
       4.837764950986e-01       3.441280620896e+02 
       4.986971967404e-01       3.225621234948e+02 
       5.139193425767e-01       3.028986444830e+02 
       5.294339660970e-01       2.844250788225e+02 
       5.452319024131e-01       2.668947253119e+02 
       5.613041003842e-01       2.506301942977e+02 
       5.776419528834e-01       2.356487632297e+02 
       5.942376320032e-01       2.216682971755e+02 
       6.110844148748e-01       2.085506068230e+02 
       6.281769857305e-01       1.963287758946e+02 
       6.455117009286e-01       1.849786085726e+02 
       6.630868058041e-01       1.743901270811e+02 
       6.809025951790e-01       1.644774307608e+02 
       6.989615128499e-01       1.552162818970e+02 
       7.172681889848e-01       1.465681211511e+02 
       7.358294177630e-01       1.384734784781e+02 
       7.546540804840e-01       1.308828659865e+02 
       7.737530215769e-01       1.237616873028e+02 
       7.931388863761e-01       1.170752927354e+02 
       8.128259302180e-01       1.107923268099e+02 
       8.328298084608e-01       1.048824892223e+02 
       8.531673565603e-01       9.931254831051e+01 
       8.738563685120e-01       9.405951541345e+01 
       8.949153809218e-01       8.910267605422e+01 
       9.163634688144e-01       8.442315251235e+01 
       9.382200580989e-01       8.000133523609e+01 
       9.605047584593e-01       7.581345521149e+01 
       9.832372193249e-01       7.185429206125e+01 
       1.006437010546e+00       6.810315737840e+01 
       1.030123528444e+00       6.454638731840e+01 
       1.054315927023e+00       6.117865745193e+01 
       1.079033073376e+00       5.798231974641e+01 
       1.104293525611e+00       5.495311945315e+01 
       1.130115531093e+00       5.207859476109e+01 
       1.156517042360e+00       4.935153527328e+01 
       1.183515747796e+00       4.676419133761e+01 
       1.211129113973e+00       4.430895110261e+01 
       1.239374436640e+00       4.197891713089e+01 
       1.268268897391e+00       3.976765036209e+01 
       1.297829623376e+00       3.766962052353e+01 
       1.328073747684e+00       3.567845779551e+01 
       1.359018468492e+00       3.378999408379e+01 
       1.390681105443e+00       3.199803975951e+01 
       1.423079152189e+00       3.029699739376e+01 
       1.456230324427e+00       2.868574727139e+01 
       1.490152603090e+00       2.715769281556e+01 
       1.524864272710e+00       2.570563318623e+01 
       1.560383955142e+00       2.433103851702e+01 
       1.596730639062e+00       2.302707966078e+01 
       1.633923705721e+00       2.179089402962e+01 
       1.671982951510e+00       2.061905780179e+01 
       1.710928607885e+00       1.950847249908e+01 
       1.750781359191e+00       1.845576602032e+01 
       1.791562358858e+00       1.745806849090e+01 
       1.833293244398e+00       1.651344441543e+01 
       1.875996151555e+00       1.561817681522e+01 
       1.919693727898e+00       1.476974731613e+01 
       1.964409146097e+00       1.396683188328e+01 
       2.010166117048e+00       1.320579114875e+01 
       2.056988902997e+00       1.248520369226e+01 
       2.104902330753e+00       1.180294689446e+01 
       2.153931805079e+00       1.115654712445e+01 
       2.204103322286e+00       1.054525329124e+01 
       2.255443484108e+00       9.966103473736e+00 
       2.307979511846e+00       9.417837970422e+00 
       2.361739260835e+00       8.899052252766e+00 
       2.416751235224e+00       8.408141789167e+00 
       2.473044603098e+00       7.943839884313e+00 
       2.530649211952e+00       7.504325442947e+00 
       2.589595604512e+00       7.088548662924e+00 
       2.649915034939e+00       6.695027187264e+00 
       2.711639485393e+00       6.322908476084e+00 
       2.774801682995e+00       5.970739736572e+00 
       2.839435117177e+00       5.638001746133e+00 
       2.905574057443e+00       5.323239911640e+00 
       2.973253571535e+00       5.025454487452e+00 
       3.042509544025e+00       4.744160419710e+00 
       3.113378695348e+00       4.478055174507e+00 
