# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.932 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042058721567e-05       4.836827865285e+01 
       1.066331387324e-05       4.945624659941e+01 
       1.091169436098e-05       5.056867735639e+01 
       1.116586037350e-05       5.170613560791e+01 
       1.142594667299e-05       5.286916974968e+01 
       1.169209116064e-05       5.405837157262e+01 
       1.196443494979e-05       5.527431835407e+01 
       1.224312244072e-05       5.651761217021e+01 
       1.252830139723e-05       5.778887005550e+01 
       1.282012302496e-05       5.908872288348e+01 
       1.311874205162e-05       6.041777093822e+01 
       1.342431680896e-05       6.177676339316e+01 
       1.373700931677e-05       6.316635850399e+01 
       1.405698536875e-05       6.458713642658e+01 
       1.438441462043e-05       6.603994516535e+01 
       1.471947067915e-05       6.752539043229e+01 
       1.506233119605e-05       6.904422982230e+01 
       1.541317796033e-05       7.059724722109e+01 
       1.577219699559e-05       7.218520972386e+01 
       1.613957865845e-05       7.380888147000e+01 
       1.651551773956e-05       7.546906083385e+01 
       1.690021356678e-05       7.716658775726e+01 
       1.729387011093e-05       7.890231055813e+01 
       1.769669609393e-05       8.067703846045e+01 
       1.810890509944e-05       8.249172529212e+01 
       1.853071568614e-05       8.434719617882e+01 
       1.896235150357e-05       8.624441776591e+01 
       1.940404141077e-05       8.818430601962e+01 
       1.985601959757e-05       9.016781627736e+01 
       2.031852570878e-05       9.219595211560e+01 
       2.079180497127e-05       9.426970167386e+01 
       2.127610832397e-05       9.639010566991e+01 
       2.177169255092e-05       9.855819003805e+01 
       2.227882041745e-05       1.007750350478e+02 
       2.279776080946e-05       1.030417451283e+02 
       2.332878887601e-05       1.053594338520e+02 
       2.387218617522e-05       1.077292522466e+02 
       2.442824082352e-05       1.101523692914e+02 
       2.499724764846e-05       1.126299926786e+02 
       2.557950834497e-05       1.151633231960e+02 
       2.617533163540e-05       1.177536414286e+02 
       2.678503343313e-05       1.204022156382e+02 
       2.740893701013e-05       1.231103696433e+02 
       2.804737316833e-05       1.258794204306e+02 
       2.870068041503e-05       1.287107463900e+02 
       2.936920514239e-05       1.316057500902e+02 
       3.005330181107e-05       1.345658721733e+02 
       3.075333313816e-05       1.375925670513e+02 
       3.146967028956e-05       1.406873150938e+02 
       3.220269307669e-05       1.438516842711e+02 
       3.295279015794e-05       1.470872093665e+02 
       3.372035924472e-05       1.503954958447e+02 
       3.450580731231e-05       1.537781844304e+02 
       3.530955081568e-05       1.572369471754e+02 
       3.613201591027e-05       1.607734934752e+02 
       3.697363867795e-05       1.643895793932e+02 
       3.783486535827e-05       1.680869700188e+02 
       3.871615258500e-05       1.718675157117e+02 
       3.961796762831e-05       1.757330842736e+02 
       4.054078864245e-05       1.796855649568e+02 
       4.148510491936e-05       1.837269330324e+02 
       4.245141714801e-05       1.878591839833e+02 
       4.344023767995e-05       1.920843524970e+02 
       4.445209080090e-05       1.964045300812e+02 
       4.548751300879e-05       2.008218498864e+02 
       4.654705329817e-05       2.053384976752e+02 
       4.763127345134e-05       2.099567053588e+02 
       4.874074833616e-05       2.146787524874e+02 
       4.987606621091e-05       2.195069726932e+02 
       5.103782903616e-05       2.244437509929e+02 
       5.222665279393e-05       2.294915257746e+02 
       5.344316781430e-05       2.346527956769e+02 
       5.468801910966e-05       2.399301002430e+02 
       5.596186671663e-05       2.453260540715e+02 
       5.726538604608e-05       2.508433178426e+02 
       5.859926824121e-05       2.564846166719e+02 
       5.996422054401e-05       2.622527359856e+02 
       6.136096667026e-05       2.681505237167e+02 
       6.279024719325e-05       2.741808905286e+02 
       6.425281993643e-05       2.803468133301e+02 
       6.574946037522e-05       2.866513345583e+02 
       6.728096204821e-05       2.930975656508e+02 
       6.884813697784e-05       2.996886862636e+02 
       7.045181610101e-05       3.064279468627e+02 
       7.209284970961e-05       3.133186747558e+02 
       7.377210790140e-05       3.203642679385e+02 
       7.549048104128e-05       3.275681980463e+02 
       7.724888023344e-05       3.349340172487e+02 
       7.904823780442e-05       3.424653575156e+02 
       8.088950779740e-05       3.501659302284e+02 
       8.277366647812e-05       3.580395293963e+02 
       8.470171285245e-05       3.660900352864e+02 
       8.667466919609e-05       3.743214115519e+02 
       8.869358159661e-05       3.827377119624e+02 
       9.075952050809e-05       3.913430807111e+02 
       9.287358131869e-05       4.001417531650e+02 
       9.503688493143e-05       4.091380592439e+02 
       9.725057835853e-05       4.183364245152e+02 
       9.951583532953e-05       4.277413735347e+02 
       1.018338569137e-04       4.373575302261e+02 
       1.042058721567e-04       4.471896224294e+02 
       1.066331387324e-04       4.572424805300e+02 
       1.091169436098e-04       4.675210434201e+02 
       1.116586037350e-04       4.780303586052e+02 
       1.142594667299e-04       4.887755854488e+02 
       1.169209116064e-04       4.997619967161e+02 
       1.196443494979e-04       5.109949812878e+02 
       1.224312244072e-04       5.224800474325e+02 
       1.252830139723e-04       5.342228237653e+02 
       1.282012302496e-04       5.462290643108e+02 
       1.311874205162e-04       5.585046476100e+02 
       1.342431680896e-04       5.710555821764e+02 
       1.373700931677e-04       5.838880076289e+02 
       1.405698536875e-04       5.970081988992e+02 
       1.438441462043e-04       6.104225677671e+02 
       1.471947067915e-04       6.241376653686e+02 
       1.506233119605e-04       6.381601861932e+02 
       1.541317796033e-04       6.524969699442e+02 
       1.577219699559e-04       6.671550068099e+02 
       1.613957865845e-04       6.821414361059e+02 
       1.651551773956e-04       6.974635535859e+02 
       1.690021356678e-04       7.131288131812e+02 
       1.729387011093e-04       7.291448286423e+02 
       1.769669609393e-04       7.455193779686e+02 
       1.810890509944e-04       7.622604071511e+02 
       1.853071568614e-04       7.793760331123e+02 
       1.896235150357e-04       7.968745453096e+02 
       1.940404141077e-04       8.147644116459e+02 
       1.985601959757e-04       8.330542805293e+02 
       2.031852570878e-04       8.517529846662e+02 
       2.079180497127e-04       8.708695438658e+02 
       2.127610832397e-04       8.904131689362e+02 
       2.177169255092e-04       9.103932647583e+02 
       2.227882041745e-04       9.308194364123e+02 
       2.279776080946e-04       9.517014882798e+02 
       2.332878887601e-04       9.730494315188e+02 
       2.387218617522e-04       9.948734860270e+02 
       2.442824082352e-04       1.017184084048e+03 
       2.499724764846e-04       1.039991872047e+03 
       2.557950834497e-04       1.063307727161e+03 
       2.617533163540e-04       1.087142733657e+03 
       2.678503343313e-04       1.111508214884e+03 
       2.740893701013e-04       1.136415722823e+03 
       2.804737316833e-04       1.161877044422e+03 
       2.870068041503e-04       1.187904204719e+03 
       2.936920514239e-04       1.214509473041e+03 
       3.005330181107e-04       1.241705363785e+03 
       3.075333313816e-04       1.269504643993e+03 
       3.146967028956e-04       1.297920330766e+03 
       3.220269307669e-04       1.326965702273e+03 
       3.295279015794e-04       1.356654298284e+03 
       3.372035924472e-04       1.386999921869e+03 
       3.450580731231e-04       1.418016646427e+03 
       3.530955081568e-04       1.449718817985e+03 
       3.613201591027e-04       1.482121060125e+03 
       3.697363867795e-04       1.515238272838e+03 
       3.783486535827e-04       1.549085641542e+03 
       3.871615258500e-04       1.583678643248e+03 
       3.961796762831e-04       1.619033038990e+03 
       4.054078864245e-04       1.655164887554e+03 
       4.148510491936e-04       1.692090543792e+03 
       4.245141714801e-04       1.729826666005e+03 
       4.344023767995e-04       1.768390211933e+03 
       4.445209080090e-04       1.807798451648e+03 
       4.548751300879e-04       1.848068964004e+03 
       4.654705329817e-04       1.889219639187e+03 
       4.763127345134e-04       1.931268690722e+03 
       4.874074833616e-04       1.974234630536e+03 
       4.987606621091e-04       2.018136327109e+03 
       5.103782903616e-04       2.062992948487e+03 
       5.222665279393e-04       2.108823993142e+03 
       5.344316781430e-04       2.155649297059e+03 
       5.468801910966e-04       2.203489021458e+03 
       5.596186671663e-04       2.252363665553e+03 
       5.726538604608e-04       2.302294058337e+03 
       5.859926824121e-04       2.353301371642e+03 
       5.996422054401e-04       2.405407120418e+03 
       6.136096667026e-04       2.458633141335e+03 
       6.279024719325e-04       2.513001646018e+03 
       6.425281993643e-04       2.568535151430e+03 
       6.574946037522e-04       2.625256531417e+03 
       6.728096204821e-04       2.683189011021e+03 
       6.884813697784e-04       2.742356145474e+03 
       7.045181610101e-04       2.802781828136e+03 
       7.209284970961e-04       2.864490306691e+03 
       7.377210790140e-04       2.927506143196e+03 
       7.549048104128e-04       2.991854257748e+03 
       7.724888023344e-04       3.057559888671e+03 
       7.904823780442e-04       3.124648590540e+03 
       8.088950779740e-04       3.193146262807e+03 
       8.277366647812e-04       3.263079117704e+03 
       8.470171285245e-04       3.334473646301e+03 
       8.667466919609e-04       3.407356688176e+03 
       8.869358159661e-04       3.481755332275e+03 
       9.075952050809e-04       3.557696992444e+03 
       9.287358131869e-04       3.635209300420e+03 
       9.503688493143e-04       3.714320238887e+03 
       9.725057835853e-04       3.795057945292e+03 
       9.951583532953e-04       3.877450801024e+03 
       1.018338569137e-03       3.961527492879e+03 
       1.042058721567e-03       4.047316804281e+03 
       1.066331387324e-03       4.134847762399e+03 
       1.091169436098e-03       4.224149539637e+03 
       1.116586037350e-03       4.315251444792e+03 
       1.142594667299e-03       4.408182919929e+03 
       1.169209116064e-03       4.502973505564e+03 
       1.196443494979e-03       4.599652851810e+03 
       1.224312244072e-03       4.698250567874e+03 
       1.252830139723e-03       4.798796384600e+03 
       1.282012302496e-03       4.901320041732e+03 
       1.311874205162e-03       5.005851149344e+03 
       1.342431680896e-03       5.112419137123e+03 
       1.373700931677e-03       5.221054070176e+03 
       1.405698536875e-03       5.331784799084e+03 
       1.438441462043e-03       5.444640894766e+03 
       1.471947067915e-03       5.559651204561e+03 
       1.506233119605e-03       5.676844519715e+03 
       1.541317796033e-03       5.796249532048e+03 
       1.577219699559e-03       5.917894326615e+03 
       1.613957865845e-03       6.041806809359e+03 
       1.651551773956e-03       6.168014271552e+03 
       1.690021356678e-03       6.296543742757e+03 
       1.729387011093e-03       6.427421660534e+03 
       1.769669609393e-03       6.560673788617e+03 
       1.810890509944e-03       6.696325431942e+03 
       1.853071568614e-03       6.834401043266e+03 
       1.896235150357e-03       6.974924427066e+03 
       1.940404141077e-03       7.117918526442e+03 
       1.985601959757e-03       7.263405263007e+03 
       2.031852570878e-03       7.411405955859e+03 
       2.079180497127e-03       7.561940893208e+03 
       2.127610832397e-03       7.715028970453e+03 
       2.177169255092e-03       7.870688281323e+03 
       2.227882041745e-03       8.028935652650e+03 
       2.279776080946e-03       8.189786546716e+03 
       2.332878887601e-03       8.353255220540e+03 
       2.387218617522e-03       8.519354464552e+03 
       2.442824082352e-03       8.688095401340e+03 
       2.499724764846e-03       8.859487658109e+03 
       2.557950834497e-03       9.033538707397e+03 
       2.617533163540e-03       9.210256562543e+03 
       2.678503343313e-03       9.389642677576e+03 
       2.740893701013e-03       9.571700880225e+03 
       2.804737316833e-03       9.756431215487e+03 
       2.870068041503e-03       9.943830817820e+03 
       2.936920514239e-03       1.013389414849e+04 
       3.005330181107e-03       1.032661814064e+04 
       3.075333313816e-03       1.052198734721e+04 
       3.146967028956e-03       1.071999448511e+04 
       3.220269307669e-03       1.092062005570e+04 
       3.295279015794e-03       1.112384087573e+04 
       3.372035924472e-03       1.132962317073e+04 
       3.450580731231e-03       1.153794079691e+04 
       3.530955081568e-03       1.174876472112e+04 
       3.613201591027e-03       1.196206220191e+04 
       3.697363867795e-03       1.217779807068e+04 
       3.783486535827e-03       1.239593171242e+04 
       3.871615258500e-03       1.261642025092e+04 
