# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.931 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218397e-05       4.830998280192e+01 
       1.066329849141e-05       4.939664084681e+01 
       1.091167862086e-05       5.050773095658e+01 
       1.116584426674e-05       5.164381131753e+01 
       1.142593019106e-05       5.280544562933e+01 
       1.169207429480e-05       5.399321817572e+01 
       1.196441769109e-05       5.520769008274e+01 
       1.224310478001e-05       5.644949785964e+01 
       1.252828332515e-05       5.771921892448e+01 
       1.282010453193e-05       5.901750922941e+01 
       1.311872312783e-05       6.034500023011e+01 
       1.342429744438e-05       6.170234978842e+01 
       1.373698950113e-05       6.309023069212e+01 
       1.405696509154e-05       6.450933125554e+01 
       1.438439387091e-05       6.596034272486e+01 
       1.471944944630e-05       6.744400675834e+01 
       1.506230946863e-05       6.896101442507e+01 
       1.541315572682e-05       7.051216395179e+01 
       1.577217424418e-05       7.209821832997e+01 
       1.613955537710e-05       7.371990790009e+01 
       1.651549391592e-05       7.537810684617e+01 
       1.690018918821e-05       7.707357667994e+01 
       1.729384516452e-05       7.880721045435e+01 
       1.769667056644e-05       8.057980865158e+01 
       1.810887897734e-05       8.239229372624e+01 
       1.853068895557e-05       8.424554391717e+01 
       1.896232415037e-05       8.614048066644e+01 
       1.940401342043e-05       8.807802582373e+01 
       1.985599095525e-05       9.005916202373e+01 
       2.031849639930e-05       9.208484714522e+01 
       2.079177497908e-05       9.415609542483e+01 
       2.127607763317e-05       9.627393791135e+01 
       2.177166114525e-05       9.843941784903e+01 
       2.227878828024e-05       1.006535932121e+02 
       2.279772792368e-05       1.029175722639e+02 
       2.332875522422e-05       1.052324629392e+02 
       2.387215173958e-05       1.075994324225e+02 
       2.442820558578e-05       1.100196281702e+02 
       2.499721158992e-05       1.124942569311e+02 
       2.557947144652e-05       1.150245524268e+02 
       2.617529387747e-05       1.176117456317e+02 
       2.678499479571e-05       1.202571328171e+02 
       2.740889747272e-05       1.229620199975e+02 
       2.804733270998e-05       1.257277365450e+02 
       2.870063901429e-05       1.285556565419e+02 
       2.936916277730e-05       1.314471779880e+02 
       3.005325845916e-05       1.344037307183e+02 
       3.075328877647e-05       1.374267780704e+02 
       3.146962489454e-05       1.405178121055e+02 
       3.220264662429e-05       1.436783551378e+02 
       3.295274262353e-05       1.469099917375e+02 
       3.372031060309e-05       1.502142954199e+02 
       3.450575753767e-05       1.535929109344e+02 
       3.530949988164e-05       1.570475107935e+02 
       3.613196378982e-05       1.605798008945e+02 
       3.697358534346e-05       1.641915286146e+02 
       3.783481078146e-05       1.678844744941e+02 
       3.871609673694e-05       1.716604708714e+02 
       3.961791047937e-05       1.755213802868e+02 
       4.054073016235e-05       1.794691198928e+02 
       4.148504507707e-05       1.835056184127e+02 
       4.245135591182e-05       1.876328977243e+02 
       4.344017501738e-05       1.918529828130e+02 
       4.445202667874e-05       1.961679632236e+02 
       4.548744739303e-05       2.005799725158e+02 
       4.654698615403e-05       2.050911879120e+02 
       4.763120474320e-05       2.097038415071e+02 
       4.874067802761e-05       2.144202104425e+02 
       4.987599426467e-05       2.192426270153e+02 
       5.103775541407e-05       2.241734708097e+02 
       5.222657745696e-05       2.292151817405e+02 
       5.344309072251e-05       2.343702435099e+02 
       5.468794022217e-05       2.396412122695e+02 
       5.596178599162e-05       2.450306790153e+02 
       5.726530344074e-05       2.505413163482e+02 
       5.859918371174e-05       2.561758395436e+02 
       5.996413404559e-05       2.619370321461e+02 
       6.136087815704e-05       2.678277390931e+02 
       6.279015661829e-05       2.738508693620e+02 
       6.425272725171e-05       2.800093882665e+02 
       6.574936553160e-05       2.863063452753e+02 
       6.728086499539e-05       2.927448408305e+02 
       6.884803766437e-05       2.993280569996e+02 
       7.045171447423e-05       3.060592367434e+02 
       7.209274571565e-05       3.129417024101e+02 
       7.377200148510e-05       3.199788493673e+02 
       7.549037214623e-05       3.271741483318e+02 
       7.724876880190e-05       3.345311440908e+02 
       7.904812377730e-05       3.420534642283e+02 
       8.088939111425e-05       3.497448172852e+02 
       8.277354707707e-05       3.576089929408e+02 
       8.470159067019e-05       3.656498661010e+02 
       8.667454416784e-05       3.738713964287e+02 
       8.869345365608e-05       3.822776341694e+02 
       9.075938958744e-05       3.908727174796e+02 
       9.287344734851e-05       3.996608780496e+02 
       9.503674784068e-05       4.086464404445e+02 
       9.725043807452e-05       4.178338253708e+02 
       9.951569177789e-05       4.272275524795e+02 
       1.018337100183e-04       4.368322406329e+02 
       1.042057218397e-04       4.466526122955e+02 
       1.066329849141e-04       4.566934931249e+02 
       1.091167862086e-04       4.669598165061e+02 
       1.116584426674e-04       4.774566243341e+02 
       1.142593019106e-04       4.881890704131e+02 
       1.169207429480e-04       4.991624227406e+02 
       1.196441769109e-04       5.103820632671e+02 
       1.224310478001e-04       5.218534950656e+02 
       1.252828332515e-04       5.335823416888e+02 
       1.282010453193e-04       5.455743497975e+02 
       1.311872312783e-04       5.578353926394e+02 
       1.342429744438e-04       5.703714727654e+02 
       1.373698950113e-04       5.831887241505e+02 
       1.405696509154e-04       5.962934141272e+02 
       1.438439387091e-04       6.096919479612e+02 
       1.471944944630e-04       6.233908716648e+02 
       1.506230946863e-04       6.373968725335e+02 
       1.541315572682e-04       6.517167853257e+02 
       1.577217424418e-04       6.663575900555e+02 
       1.613955537710e-04       6.813264225199e+02 
       1.651549391592e-04       6.966305705327e+02 
       1.690018918821e-04       7.122774812198e+02 
       1.729384516452e-04       7.282747610436e+02 
       1.769667056644e-04       7.446301822771e+02 
       1.810887897734e-04       7.613516827156e+02 
       1.853068895557e-04       7.784473725167e+02 
       1.896232415037e-04       7.959255346432e+02 
       1.940401342043e-04       8.137946294750e+02 
       1.985599095525e-04       8.320632986627e+02 
       2.031849639930e-04       8.507403673237e+02 
       2.079177497908e-04       8.698348485275e+02 
       2.127607763317e-04       8.893559453809e+02 
       2.177166114525e-04       9.093130566106e+02 
       2.227878828024e-04       9.297157790331e+02 
       2.279772792368e-04       9.505739109488e+02 
       2.332875522422e-04       9.718974564199e+02 
       2.387215173958e-04       9.936966277373e+02 
       2.442820558578e-04       1.015981850979e+03 
       2.499721158992e-04       1.038763767590e+03 
       2.557947144652e-04       1.062053240062e+03 
       2.617529387747e-04       1.085861354719e+03 
       2.678499479571e-04       1.110199425045e+03 
       2.740889747272e-04       1.135078996479e+03 
       2.804733270998e-04       1.160511849474e+03 
       2.870063901429e-04       1.186510003503e+03 
       2.936916277730e-04       1.213085721828e+03 
       3.005325845916e-04       1.240251512261e+03 
       3.075328877647e-04       1.268020134805e+03 
       3.146962489454e-04       1.296404604275e+03 
       3.220264662429e-04       1.325418191367e+03 
       3.295274262353e-04       1.355074429997e+03 
       3.372031060309e-04       1.385387120112e+03 
       3.450575753767e-04       1.416370328232e+03 
       3.530949988164e-04       1.448038397565e+03 
       3.613196378982e-04       1.480405945832e+03 
       3.697358534346e-04       1.513487869131e+03 
       3.783481078146e-04       1.547299350604e+03 
       3.871609673694e-04       1.581855861615e+03 
       3.961791047937e-04       1.617173159369e+03 
       4.054073016235e-04       1.653267300305e+03 
       4.148504507707e-04       1.690154635517e+03 
       4.245135591182e-04       1.727851817503e+03 
       4.344017501738e-04       1.766375805682e+03 
       4.445202667874e-04       1.805743868172e+03 
       4.548744739303e-04       1.845973567431e+03 
       4.654698615403e-04       1.887082807457e+03 
       4.763120474320e-04       1.929089784463e+03 
       4.874067802761e-04       1.972013024882e+03 
       4.987599426467e-04       2.015871379510e+03 
       5.103775541407e-04       2.060684011929e+03 
       5.222657745696e-04       2.106470419888e+03 
       5.344309072251e-04       2.153250432184e+03 
       5.468794022217e-04       2.201044211583e+03 
       5.596178599162e-04       2.249872239239e+03 
       5.726530344074e-04       2.299755351287e+03 
       5.859918371174e-04       2.350714697195e+03 
       5.996413404559e-04       2.402771797354e+03 
       6.136087815704e-04       2.455948474109e+03 
       6.279015661829e-04       2.510266909694e+03 
       6.425272725171e-04       2.565749626690e+03 
       6.574936553160e-04       2.622419480831e+03 
       6.728086499539e-04       2.680299666116e+03 
       6.884803766437e-04       2.739413713618e+03 
       7.045171447423e-04       2.799785523169e+03 
       7.209274571565e-04       2.861439326251e+03 
       7.377200148510e-04       2.924399606078e+03 
       7.549037214623e-04       2.988691269099e+03 
       7.724876880190e-04       3.054339537621e+03 
       7.904812377730e-04       3.121369930193e+03 
       8.088939111425e-04       3.189808277368e+03 
       8.277354707707e-04       3.259680774082e+03 
       8.470159067019e-04       3.331013852760e+03 
       8.667454416784e-04       3.403834303641e+03 
       8.869345365608e-04       3.478169146525e+03 
       9.075938958744e-04       3.554045775285e+03 
       9.287344734851e-04       3.631491732577e+03 
       9.503674784068e-04       3.710534931060e+03 
       9.725043807452e-04       3.791203437298e+03 
       9.951569177789e-04       3.873525612307e+03 
       1.018337100183e-03       3.957529983888e+03 
       1.042057218397e-03       4.043245324730e+03 
       1.066329849141e-03       4.130700510305e+03 
       1.091167862086e-03       4.219924793113e+03 
       1.116584426674e-03       4.310947281953e+03 
       1.142593019106e-03       4.403797338170e+03 
       1.169207429480e-03       4.498504458087e+03 
       1.196441769109e-03       4.595098191475e+03 
       1.224310478001e-03       4.693608121275e+03 
       1.252828332515e-03       4.794063946975e+03 
       1.282010453193e-03       4.896495237681e+03 
       1.311872312783e-03       5.000931634062e+03 
       1.342429744438e-03       5.107402647727e+03 
       1.373698950113e-03       5.215937853643e+03 
       1.405696509154e-03       5.326566571709e+03 
       1.438439387091e-03       5.439318034189e+03 
       1.471944944630e-03       5.554221356463e+03 
