# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.931 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057241043e-05       4.830999151633e+01 
       1.066329872315e-05       4.939664551173e+01 
       1.091167885799e-05       5.050773188397e+01 
       1.116584450940e-05       5.164381073967e+01 
       1.142593043937e-05       5.280545100231e+01 
       1.169207454889e-05       5.399321897074e+01 
       1.196441795110e-05       5.520769286209e+01 
       1.224310504608e-05       5.644948851812e+01 
       1.252828359741e-05       5.771922011340e+01 
       1.282010481054e-05       5.901750759943e+01 
       1.311872341293e-05       6.034500149825e+01 
       1.342429773612e-05       6.170234964386e+01 
       1.373698979966e-05       6.309023766426e+01 
       1.405696539703e-05       6.450928838585e+01 
       1.438439418351e-05       6.596035224372e+01 
       1.471944976619e-05       6.744400867310e+01 
       1.506230979597e-05       6.896101898730e+01 
       1.541315606178e-05       7.051218279717e+01 
       1.577217458695e-05       7.209820085379e+01 
       1.613955572785e-05       7.371992190624e+01 
       1.651549427484e-05       7.537810846716e+01 
       1.690018955549e-05       7.707357831324e+01 
       1.729384554035e-05       7.880719639850e+01 
       1.769667095103e-05       8.057982198981e+01 
       1.810887937089e-05       8.239230305235e+01 
       1.853068935829e-05       8.424554632284e+01 
       1.896232456246e-05       8.614047455277e+01 
       1.940401384212e-05       8.807803195213e+01 
       1.985599138676e-05       9.005916327958e+01 
       2.031849684086e-05       9.208485104395e+01 
       2.079177543093e-05       9.415611260773e+01 
       2.127607809555e-05       9.627394717594e+01 
       2.177166161839e-05       9.843942211200e+01 
       2.227878876441e-05       1.006536013927e+02 
       2.279772841912e-05       1.029175747890e+02 
       2.332875573121e-05       1.052324651167e+02 
       2.387215225838e-05       1.075994346572e+02 
       2.442820611665e-05       1.100196304530e+02 
       2.499721213316e-05       1.124942592655e+02 
       2.557947200242e-05       1.150245461745e+02 
       2.617529444632e-05       1.176117477341e+02 
       2.678499537780e-05       1.202571380964e+02 
       2.740889806838e-05       1.229620276967e+02 
       2.804733331951e-05       1.257277391521e+02 
       2.870063963802e-05       1.285556592078e+02 
       2.936916341556e-05       1.314471808365e+02 
       3.005325911229e-05       1.344037372683e+02 
       3.075328944480e-05       1.374267833570e+02 
       3.146962557845e-05       1.405178162712e+02 
       3.220264732413e-05       1.436783648631e+02 
       3.295274333967e-05       1.469099962532e+02 
       3.372031133591e-05       1.502142997519e+02 
       3.450575828756e-05       1.535929161072e+02 
       3.530950064899e-05       1.570475170972e+02 
       3.613196457505e-05       1.605798038022e+02 
       3.697358614698e-05       1.641915298519e+02 
       3.783481160369e-05       1.678844779807e+02 
       3.871609757832e-05       1.716604730036e+02 
       3.961791134036e-05       1.755213836580e+02 
       4.054073104339e-05       1.794691167323e+02 
       4.148504597864e-05       1.835056247064e+02 
       4.245135683438e-05       1.876329012002e+02 
       4.344017596143e-05       1.918529867849e+02 
       4.445202764478e-05       1.961679677408e+02 
       4.548744838157e-05       2.005799756103e+02 
       4.654698716560e-05       2.050911926486e+02 
       4.763120577834e-05       2.097038456315e+02 
       4.874067908685e-05       2.144202159793e+02 
       4.987599534858e-05       2.192426338227e+02 
       5.103775652323e-05       2.241734740890e+02 
       5.222657859195e-05       2.292151840613e+02 
       5.344309188395e-05       2.343702477195e+02 
       5.468794141066e-05       2.396412160465e+02 
       5.596178720779e-05       2.450306846674e+02 
       5.726530468524e-05       2.505413213055e+02 
       5.859918498522e-05       2.561758443879e+02 
       5.996413534874e-05       2.619370365313e+02 
       6.136087949054e-05       2.678277436669e+02 
       6.279015798286e-05       2.738508716104e+02 
       6.425272864806e-05       2.800093967340e+02 
       6.574936696048e-05       2.863063506541e+02 
       6.728086645755e-05       2.927448481436e+02 
       6.884803916059e-05       2.993280632361e+02 
       7.045171600530e-05       3.060592429598e+02 
       7.209274728238e-05       3.129417099485e+02 
       7.377200308833e-05       3.199788559823e+02 
       7.549037378680e-05       3.271741550808e+02 
       7.724877048069e-05       3.345311506471e+02 
       7.904812549519e-05       3.420534713584e+02 
       8.088939287216e-05       3.497448242353e+02 
       8.277354887592e-05       3.576090002739e+02 
       8.470159251094e-05       3.656498736977e+02 
       8.667454605147e-05       3.738714047107e+02 
       8.869345558358e-05       3.822776424840e+02 
       9.075939155984e-05       3.908727258416e+02 
       9.287344936685e-05       3.996608863277e+02 
       9.503674990604e-05       4.086464487338e+02 
       9.725044018799e-05       4.178338340353e+02 
       9.951569394059e-05       4.272275612971e+02 
       1.018337122314e-04       4.368322496242e+02 
       1.042057241043e-04       4.466526217229e+02 
       1.066329872315e-04       4.566935026837e+02 
       1.091167885799e-04       4.669598261285e+02 
       1.116584450940e-04       4.774566348633e+02 
       1.142593043937e-04       4.881890808438e+02 
       1.169207454889e-04       4.991624329963e+02 
       1.196441795110e-04       5.103820737383e+02 
       1.224310504608e-04       5.218535058393e+02 
       1.252828359741e-04       5.335823524686e+02 
       1.282010481054e-04       5.455743609622e+02 
       1.311872341293e-04       5.578354041596e+02 
       1.342429773612e-04       5.703714844131e+02 
       1.373698979966e-04       5.831887358451e+02 
       1.405696539703e-04       5.962934262395e+02 
       1.438439418351e-04       6.096919604088e+02 
       1.471944976619e-04       6.233908845331e+02 
       1.506230979597e-04       6.373968859777e+02 
       1.541315606178e-04       6.517167984115e+02 
       1.577217458695e-04       6.663576037094e+02 
       1.613955572785e-04       6.813264363575e+02 
       1.651549427484e-04       6.966305849686e+02 
       1.690018955549e-04       7.122774959317e+02 
       1.729384554035e-04       7.282747760814e+02 
       1.769667095103e-04       7.446301975121e+02 
       1.810887937089e-04       7.613516981573e+02 
       1.853068935829e-04       7.784473885155e+02 
       1.896232456246e-04       7.959255511638e+02 
       1.940401384212e-04       8.137946464145e+02 
       1.985599138676e-04       8.320633160359e+02 
       2.031849684086e-04       8.507403847232e+02 
       2.079177543093e-04       8.698348659702e+02 
       2.127607809555e-04       8.893559637784e+02 
       2.177166161839e-04       9.093130751763e+02 
       2.227878876441e-04       9.297157983612e+02 
       2.279772841912e-04       9.505739303470e+02 
       2.332875573121e-04       9.718974762325e+02 
       2.387215225838e-04       9.936966483586e+02 
       2.442820611665e-04       1.015981871865e+03 
       2.499721213316e-04       1.038763788826e+03 
       2.557947200242e-04       1.062053261766e+03 
       2.617529444632e-04       1.085861377069e+03 
       2.678499537780e-04       1.110199447892e+03 
       2.740889806838e-04       1.135079019309e+03 
       2.804733331951e-04       1.160511872707e+03 
       2.870063963802e-04       1.186510027419e+03 
       2.936916341556e-04       1.213085745894e+03 
       3.005325911229e-04       1.240251536511e+03 
       3.075328944480e-04       1.268020160503e+03 
       3.146962557845e-04       1.296404630686e+03 
       3.220264732413e-04       1.325418218348e+03 
       3.295274333967e-04       1.355074457693e+03 
       3.372031133591e-04       1.385387147752e+03 
       3.450575828756e-04       1.416370357204e+03 
       3.530950064899e-04       1.448038426693e+03 
       3.613196457505e-04       1.480405976302e+03 
       3.697358614698e-04       1.513487899170e+03 
       3.783481160369e-04       1.547299382297e+03 
       3.871609757832e-04       1.581855893349e+03 
       3.961791134036e-04       1.617173192059e+03 
       4.054073104339e-04       1.653267333116e+03 
       4.148504597864e-04       1.690154668846e+03 
       4.245135683438e-04       1.727851852617e+03 
       4.344017596143e-04       1.766375841606e+03 
       4.445202764478e-04       1.805743895660e+03 
       4.548744838157e-04       1.845973605279e+03 
       4.654698716560e-04       1.887082841261e+03 
       4.763120577834e-04       1.929089822817e+03 
       4.874067908685e-04       1.972013063920e+03 
       4.987599534858e-04       2.015871415660e+03 
       5.103775652323e-04       2.060684049070e+03 
       5.222657859195e-04       2.106470459661e+03 
       5.344309188395e-04       2.153250480364e+03 
       5.468794141066e-04       2.201044252917e+03 
       5.596178720779e-04       2.249872284799e+03 
       5.726530468524e-04       2.299755396477e+03 
       5.859918498522e-04       2.350714749863e+03 
       5.996413534874e-04       2.402771845611e+03 
       6.136087949054e-04       2.455948522121e+03 
       6.279015798286e-04       2.510266959130e+03 
