# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.932 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042058721567e-05       4.831004994391e+01 
       1.066331387324e-05       4.939670824893e+01 
       1.091169436098e-05       5.050779987067e+01 
       1.116586037350e-05       5.164388891000e+01 
       1.142594667299e-05       5.280552305991e+01 
       1.169209116064e-05       5.399329338142e+01 
       1.196443494979e-05       5.520777649974e+01 
       1.224312244072e-05       5.644957373046e+01 
       1.252830139723e-05       5.771930138411e+01 
       1.282012302496e-05       5.901758960348e+01 
       1.311874205162e-05       6.034503785624e+01 
       1.342431680896e-05       6.170239449962e+01 
       1.373700931677e-05       6.309031701332e+01 
       1.405698536875e-05       6.450938480387e+01 
       1.438441462043e-05       6.596044487752e+01 
       1.471947067915e-05       6.744410220743e+01 
       1.506233119605e-05       6.896111346488e+01 
       1.541317796033e-05       7.051226166828e+01 
       1.577219699559e-05       7.209831288556e+01 
       1.613957865845e-05       7.372003039193e+01 
       1.651551773956e-05       7.537821164871e+01 
       1.690021356678e-05       7.707369550417e+01 
       1.729387011093e-05       7.880732929385e+01 
       1.769669609393e-05       8.057992126912e+01 
       1.810890509944e-05       8.239242412220e+01 
       1.853071568614e-05       8.424566197389e+01 
       1.896235150357e-05       8.614060036486e+01 
       1.940404141077e-05       8.807815408818e+01 
       1.985601959757e-05       9.005927733353e+01 
       2.031852570878e-05       9.208497253755e+01 
       2.079180497127e-05       9.415622659106e+01 
       2.127610832397e-05       9.627407899850e+01 
       2.177169255092e-05       9.843955445640e+01 
       2.227882041745e-05       1.006537319464e+02 
       2.279776080946e-05       1.029177145674e+02 
       2.332878887601e-05       1.052326145792e+02 
       2.387218617522e-05       1.075995816005e+02 
       2.442824082352e-05       1.100197832469e+02 
       2.499724764846e-05       1.124944257075e+02 
       2.557950834497e-05       1.150247083972e+02 
       2.617533163540e-05       1.176119103317e+02 
       2.678503343313e-05       1.202572982313e+02 
       2.740893701013e-05       1.229621943615e+02 
       2.804737316833e-05       1.257279141775e+02 
       2.870068041503e-05       1.285558343685e+02 
       2.936920514239e-05       1.314473558704e+02 
       3.005330181107e-05       1.344039175506e+02 
       3.075333313816e-05       1.374269720710e+02 
       3.146967028956e-05       1.405179981331e+02 
       3.220269307669e-05       1.436785617806e+02 
       3.295279015794e-05       1.469101959484e+02 
       3.372035924472e-05       1.502145041704e+02 
       3.450580731231e-05       1.535931253460e+02 
       3.530955081568e-05       1.570477293283e+02 
       3.613201591027e-05       1.605800236784e+02 
       3.697363867795e-05       1.641917622576e+02 
       3.783486535827e-05       1.678847081771e+02 
       3.871615258500e-05       1.716607094432e+02 
       3.961796762831e-05       1.755216316871e+02 
       4.054078864245e-05       1.794693620027e+02 
       4.148510491936e-05       1.835058732220e+02 
       4.245141714801e-05       1.876331584831e+02 
       4.344023767995e-05       1.918532501115e+02 
       4.445209080090e-05       1.961682371361e+02 
       4.548751300879e-05       2.005802501885e+02 
       4.654705329817e-05       2.050914724917e+02 
       4.763127345134e-05       2.097041331453e+02 
       4.874074833616e-05       2.144205092134e+02 
       4.987606621091e-05       2.192429315945e+02 
       5.103782903616e-05       2.241737822505e+02 
       5.222665279393e-05       2.292154969881e+02 
       5.344316781430e-05       2.343705713502e+02 
       5.468801910966e-05       2.396415420203e+02 
       5.596186671663e-05       2.450310204939e+02 
       5.726538604608e-05       2.505416641987e+02 
       5.859926824121e-05       2.561761952914e+02 
       5.996422054401e-05       2.619373958723e+02 
       6.136096667026e-05       2.678281105510e+02 
       6.279024719325e-05       2.738512466687e+02 
       6.425281993643e-05       2.800097775435e+02 
       6.574946037522e-05       2.863067422942e+02 
       6.728096204821e-05       2.927452485738e+02 
       6.884813697784e-05       2.993284725983e+02 
       7.045181610101e-05       3.060596607996e+02 
       7.209284970961e-05       3.129421369645e+02 
       7.377210790140e-05       3.199792949100e+02 
       7.549048104128e-05       3.271746025805e+02 
       7.724888023344e-05       3.345316080010e+02 
       7.904823780442e-05       3.420539389728e+02 
       8.088950779740e-05       3.497453027028e+02 
       8.277366647812e-05       3.576094889159e+02 
       8.470171285245e-05       3.656503735006e+02 
       8.667466919609e-05       3.738719156843e+02 
       8.869358159661e-05       3.822781646919e+02 
       9.075952050809e-05       3.908732600936e+02 
       9.287358131869e-05       3.996614325462e+02 
       9.503688493143e-05       4.086470072082e+02 
       9.725057835853e-05       4.178344047507e+02 
       9.951583532953e-05       4.272281447580e+02 
       1.018338569137e-04       4.368328461641e+02 
       1.042058721567e-04       4.466532315172e+02 
       1.066331387324e-04       4.566941261270e+02 
       1.091169436098e-04       4.669604635058e+02 
       1.116586037350e-04       4.774572857694e+02 
       1.142594667299e-04       4.881897468016e+02 
       1.169209116064e-04       4.991631137739e+02 
       1.196443494979e-04       5.103827699005e+02 
       1.224312244072e-04       5.218542176788e+02 
       1.252830139723e-04       5.335830799032e+02 
       1.282012302496e-04       5.455751046425e+02 
       1.311874205162e-04       5.578361644557e+02 
       1.342431680896e-04       5.703722617362e+02 
       1.373700931677e-04       5.831895298874e+02 
       1.405698536875e-04       5.962942376782e+02 
       1.438441462043e-04       6.096927905075e+02 
       1.471947067915e-04       6.233917330474e+02 
       1.506233119605e-04       6.373977533275e+02 
       1.541317796033e-04       6.517176846098e+02 
       1.577219699559e-04       6.663585100546e+02 
       1.613957865845e-04       6.813273626946e+02 
       1.651551773956e-04       6.966315313840e+02 
       1.690021356678e-04       7.122784632428e+02 
