# Matter power spectrum P(k) at redshift z=0
# for k=1.04213e-05 to 504.967 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.678693086156e-04       1.110274217308e+03 
       2.741087863535e-04       1.135155334794e+03 
       2.804936001981e-04       1.160589758589e+03 
       2.870271354623e-04       1.186589508770e+03 
       2.937128563130e-04       1.213166847552e+03 
       3.005543076078e-04       1.240334283916e+03 
       3.075551167749e-04       1.268104576876e+03 
       3.147189957358e-04       1.296490740463e+03 
       3.220497428741e-04       1.325506045621e+03 
       3.295512450489e-04       1.355164025603e+03 
       3.372274796559e-04       1.385478479175e+03 
       3.450825167364e-04       1.416463474064e+03 
       3.531205211350e-04       1.448133350020e+03 
       3.613457547080e-04       1.480502725569e+03 
       3.697625785831e-04       1.513586496845e+03 
       3.783754554717e-04       1.547399845150e+03 
       3.871889520352e-04       1.581958238633e+03 
       3.962077413062e-04       1.617277435280e+03 
       4.054366051660e-04       1.653373489736e+03 
       4.148804368805e-04       1.690262752456e+03 
       4.245442436942e-04       1.727961872917e+03 
       4.344331494854e-04       1.766487808174e+03 
       4.445523974828e-04       1.805857820845e+03 
       4.549073530458e-04       1.846089481972e+03 
       4.655035065087e-04       1.887200679099e+03 
       4.763464760925e-04       1.929209618382e+03 
       4.874420108831e-04       1.972134813888e+03 
       4.987959938799e-04       2.015995112788e+03 
       5.104144451150e-04       2.060809680950e+03 
       5.223035248451e-04       2.106598011450e+03 
       5.344695368175e-04       2.153379927723e+03 
       5.469189316129e-04       2.201175582628e+03 
       5.596583100652e-04       2.250005459312e+03 
       5.726944267614e-04       2.299890380639e+03 
       5.860341936231e-04       2.350851503937e+03 
       5.996846835715e-04       2.402910320455e+03 
       6.136531342768e-04       2.456088661695e+03 
       6.279469519966e-04       2.510408701091e+03 
       6.425737155021e-04       2.565892946533e+03 
       6.575411800971e-04       2.622564246454e+03 
       6.728572817294e-04       2.680445797235e+03 
       6.885301411988e-04       2.739561123464e+03 
       7.045680684628e-04       2.799934083372e+03 
       7.209795670428e-04       2.861588882031e+03 
       7.377733385325e-04       2.924550059054e+03 
       7.549582872119e-04       2.988842455106e+03 
       7.725435247682e-04       3.054491286946e+03 
       7.905383751272e-04       3.121522057334e+03 
       8.089523793966e-04       3.189960595543e+03 
       8.277953009254e-04       3.259833046401e+03 
       8.470771304799e-04       3.331165847537e+03 
       8.668080915414e-04       3.403985710065e+03 
       8.869986457266e-04       3.478319776795e+03 
       9.076594983345e-04       3.554195242714e+03 
       9.288016040228e-04       3.631639717405e+03 
       9.504361726156e-04       3.710681042607e+03 
       9.725746750477e-04       3.791347299758e+03 
       9.952288494460e-04       3.873666775633e+03 
       1.018410707354e-03       3.957668009205e+03 
       1.042132540099e-03       4.043379679124e+03 
       1.066406925311e-03       4.130830691950e+03 
       1.091246733590e-03       4.220050103885e+03 
       1.116665135332e-03       4.311067076119e+03 
       1.142675607710e-03       4.403910996990e+03 
       1.169291941819e-03       4.498611202988e+03 
       1.196528249994e-03       4.595197203040e+03 
       1.224398973285e-03       4.693698531493e+03 
       1.252918889118e-03       4.794144762450e+03 
       1.282103119131e-03       4.896565479470e+03 
       1.311967137188e-03       5.000990194255e+03 
       1.342526777587e-03       5.107448373130e+03 
       1.373798243454e-03       5.215969427524e+03 
       1.405798115334e-03       5.326582641002e+03 
       1.438543359983e-03       5.439317152700e+03 
       1.472051339363e-03       5.554201853799e+03 
       1.506339819847e-03       5.671265467996e+03 
       1.541426981643e-03       5.790536440557e+03 
       1.577331428428e-03       5.912042854745e+03 
       1.614072197215e-03       6.035812503569e+03 
       1.651668768445e-03       6.161872688312e+03 
       1.690141076319e-03       6.290250339319e+03 
       1.729509519363e-03       6.420971394879e+03 
       1.769794971247e-03       6.554062804563e+03 
       1.811018791850e-03       6.689548597516e+03 
       1.853202838589e-03       6.827453623261e+03 
       1.896369478003e-03       6.967801451546e+03 
       1.940541597616e-03       7.110615292956e+03 
       1.985742618070e-03       7.255916959935e+03 
       2.031996505544e-03       7.403727593142e+03 
       2.079327784462e-03       7.554067212890e+03 
       2.127761550495e-03       7.706954764511e+03 
       2.177323483866e-03       7.862407928507e+03 
       2.228039862968e-03       8.020444079450e+03 
       2.279937578297e-03       8.181077671186e+03 
       2.333044146709e-03       8.344322874238e+03 
       2.387387726009e-03       8.510192123289e+03 
       2.442997129882e-03       8.678696343110e+03 
       2.499901843170e-03       8.849844330194e+03 
       2.558132037506e-03       9.023643997960e+03 
       2.617718587309e-03       9.200100319979e+03 
       2.678693086156e-03       9.379217033547e+03 
       2.741087863535e-03       9.560995803138e+03 
       2.804936001981e-03       9.745435651026e+03 
       2.870271354623e-03       9.932533571824e+03 
       2.937128563130e-03       1.012228421326e+04 
       3.005543076078e-03       1.031467941161e+04 
       3.075551167749e-03       1.050970859600e+04 
       3.147189957358e-03       1.070735853202e+04 
       3.220497428741e-03       1.090761236842e+04 
       3.295512450489e-03       1.111087081315e+04 
       3.372274796559e-03       1.131674937677e+04 
       3.450825167364e-03       1.152515208583e+04 
       3.531205211350e-03       1.173604698408e+04 
