# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.931 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057241043e-05       4.836822095743e+01 
       1.066329872315e-05       4.945618462343e+01 
       1.091167885799e-05       5.056861007418e+01 
       1.116584450940e-05       5.170605818261e+01 
       1.142593043937e-05       5.286909845888e+01 
       1.169207454889e-05       5.405829794786e+01 
       1.196441795110e-05       5.527423550136e+01 
       1.224310504608e-05       5.651752772670e+01 
       1.252828359741e-05       5.778878958787e+01 
       1.282010481054e-05       5.908864174700e+01 
       1.311872341293e-05       6.041773550202e+01 
       1.342429773612e-05       6.177671943741e+01 
       1.373698979966e-05       6.316628005930e+01 
       1.405696539703e-05       6.458704095263e+01 
       1.438439418351e-05       6.603985346781e+01 
       1.471944976619e-05       6.752529785786e+01 
       1.506230979597e-05       6.904413631086e+01 
       1.541315606178e-05       7.059716941174e+01 
       1.577217458695e-05       7.218509874352e+01 
       1.613955572785e-05       7.380877400858e+01 
       1.651549427484e-05       7.546895874244e+01 
       1.690018955549e-05       7.716647166365e+01 
       1.729384554035e-05       7.890217878828e+01 
       1.769667095103e-05       8.067694036112e+01 
       1.810887937089e-05       8.249160541918e+01 
       1.853068935829e-05       8.434708174278e+01 
       1.896232456246e-05       8.624429318675e+01 
       1.940401384212e-05       8.818418515726e+01 
       1.985599138676e-05       9.016770355768e+01 
       2.031849684086e-05       9.219583198317e+01 
       2.079177543093e-05       9.426958909843e+01 
       2.127607809555e-05       9.638997523662e+01 
       2.177166161839e-05       9.855805913328e+01 
       2.227878876441e-05       1.007749059503e+02 
       2.279772841912e-05       1.030416068360e+02 
       2.332875573121e-05       1.053592858839e+02 
       2.387215225838e-05       1.077291068420e+02 
       2.442820611665e-05       1.101522180956e+02 
       2.499721213316e-05       1.126298278354e+02 
       2.557947200242e-05       1.151631626261e+02 
       2.617529444632e-05       1.177534805490e+02 
       2.678499537780e-05       1.204020572394e+02 
       2.740889806838e-05       1.231102047215e+02 
       2.804733331951e-05       1.258792471696e+02 
       2.870063963802e-05       1.287105730364e+02 
       2.936916341556e-05       1.316055769428e+02 
       3.005325911229e-05       1.345656938165e+02 
       3.075328944480e-05       1.375923802469e+02 
       3.146962557845e-05       1.406871352792e+02 
       3.220264732413e-05       1.438514894438e+02 
       3.295274333967e-05       1.470870117961e+02 
       3.372031133591e-05       1.503952935833e+02 
       3.450575828756e-05       1.537779773937e+02 
       3.530950064899e-05       1.572367371691e+02 
       3.613196457505e-05       1.607732758982e+02 
       3.697358614698e-05       1.643893493086e+02 
       3.783481160369e-05       1.680867422736e+02 
       3.871609757832e-05       1.718672817448e+02 
       3.961791134036e-05       1.757328387061e+02 
       4.054073104339e-05       1.796853222396e+02 
       4.148504597864e-05       1.837266871733e+02 
       4.245135683438e-05       1.878589293671e+02 
       4.344017596143e-05       1.920840918801e+02 
       4.445202764478e-05       1.964042634574e+02 
       4.548744838157e-05       2.008215781461e+02 
       4.654698716560e-05       2.053382208193e+02 
       4.763120577834e-05       2.099564208161e+02 
       4.874067908685e-05       2.146784622446e+02 
       4.987599534858e-05       2.195066780517e+02 
       5.103775652323e-05       2.244434459702e+02 
       5.222657859195e-05       2.294912160117e+02 
       5.344309188395e-05       2.346524753427e+02 
       5.468794141066e-05       2.399297776423e+02 
       5.596178720779e-05       2.453257217451e+02 
       5.726530468524e-05       2.508429784427e+02 
       5.859918498522e-05       2.564842693818e+02 
       5.996413534874e-05       2.622523802398e+02 
       6.136087949054e-05       2.681501605474e+02 
       6.279015798286e-05       2.741805193003e+02 
       6.425272864806e-05       2.803464363877e+02 
       6.574936696048e-05       2.866509468645e+02 
       6.728086645755e-05       2.930971692391e+02 
       6.884803916059e-05       2.996882809945e+02 
       7.045171600530e-05       3.064275332055e+02 
       7.209274728238e-05       3.133182521531e+02 
       7.377200308833e-05       3.203638333345e+02 
       7.549037378680e-05       3.275677549630e+02 
       7.724877048069e-05       3.349335644005e+02 
       7.904812549519e-05       3.424648944953e+02 
       8.088939287216e-05       3.501654564592e+02 
       8.277354887592e-05       3.580390455173e+02 
       8.470159251094e-05       3.660895403365e+02 
       8.667454605147e-05       3.743209055637e+02 
       8.869345558358e-05       3.827371947982e+02 
       9.075939155984e-05       3.913425515717e+02 
       9.287344936685e-05       4.001412121360e+02 
       9.503674990604e-05       4.091375060569e+02 
       9.725044018799e-05       4.183358591838e+02 
       9.951569394059e-05       4.277407955453e+02 
       1.018337122314e-04       4.373569392457e+02 
       1.042057241043e-04       4.471890182761e+02 
       1.066329872315e-04       4.572418627960e+02 
       1.091167885799e-04       4.675204118589e+02 
       1.116584450940e-04       4.780297136079e+02 
