1.17636e-2,3.91700e+0,2.17000e+2,1.82280e+4
2.01245e-2,3.92363e+0,2.08000e+2,2.11657e+4
3.49872e-2,3.93234e+0,2.38000e+2,2.38595e+4
6.03937e-2,4.00215e+0,2.35000e+2,2.41857e+4
9.52400e-2,4.63390e+0,2.29000e+2,2.39856e+4
1.33783e-1,5.76007e+0,2.34000e+2,2.40643e+4
1.85881e-1,7.18553e+0,2.35000e+2,2.44395e+4
2.75821e-1,8.70022e+0,2.34000e+2,2.42675e+4
4.49140e-1,9.86124e+0,2.38000e+2,2.43916e+4
7.68180e-1,1.04313e+1,2.38000e+2,2.44228e+4
1.32898e+0,1.06475e+1,2.37000e+2,2.41652e+4
2.31059e+0,1.07301e+1,2.31000e+2,2.39718e+4
3.97484e+0,1.07516e+1,2.27000e+2,2.47320e+4
6.91832e+0,1.07798e+1,2.45000e+2,2.59700e+4
1.19616e+1,1.08220e+1,2.39000e+2,2.41943e+4
2.05516e+1,1.13148e+1,2.35000e+2,2.42711e+4
3.36619e+1,1.27604e+1,2.34000e+2,2.39858e+4
5.43808e+1,1.45970e+1,2.32000e+2,2.38716e+4
8.78828e+1,1.66931e+1,2.33000e+2,2.41390e+4
1.27200e+2,2.04197e+1,2.35000e+2,2.43302e+4
1.56619e+2,2.63496e+1,2.39000e+2,2.48322e+4
1.79778e+2,3.44567e+1,2.34000e+2,2.40466e+4
2.00425e+2,4.52301e+1,2.37000e+2,2.47790e+4
2.18473e+2,5.93724e+1,2.34000e+2,2.29342e+4
3.43875e+2,6.51254e+1,2.35000e+2,2.40893e+4
5.85326e+2,6.98866e+1,2.34000e+2,2.42228e+4
9.95617e+2,7.50802e+1,2.35000e+2,2.41243e+4
1.69616e+3,8.03868e+1,2.38000e+2,2.47689e+4
2.91983e+3,8.37269e+1,2.36000e+2,2.47019e+4
5.05838e+3,8.52366e+1,2.36000e+2,2.44380e+4
8.74917e+3,8.60465e+1,2.36000e+2,2.47545e+4
1.51720e+4,8.69262e+1,2.32000e+2,2.34774e+4
2.61334e+4,8.98721e+1,2.37000e+2,2.47175e+4
4.47484e+4,9.51373e+1,2.36000e+2,2.43627e+4
7.66832e+4,1.00651e+2,2.35000e+2,2.42390e+4
1.32202e+5,1.04103e+2,2.37000e+2,2.44788e+4
2.29355e+5,1.05651e+2,2.30000e+2,2.20691e+4
3.95288e+5,1.06158e+2,2.25000e+2,2.20377e+4
6.86253e+5,1.06502e+2,2.45000e+2,2.59700e+4
