1.19013e-2,3.41618e+0
1.53478e-2,3.41618e+0
2.69209e-2,3.41618e+0
4.16596e-2,3.42435e+0
6.35822e-2,3.59355e+0
9.01464e-2,4.20964e+0
1.11152e-1,4.95550e+0
1.33380e-1,5.63025e+0
1.60054e-1,6.68699e+0
1.98886e-1,7.72781e+0
2.58914e-1,8.79138e+0
3.21414e-1,9.43894e+0
4.35444e-1,1.00785e+1
6.43394e-1,1.05288e+1
1.06978e+0,1.07633e+1
1.74571e+0,1.08479e+1
3.13578e+0,1.08644e+1
5.45726e+0,1.09070e+1
8.77054e+0,1.09002e+1
1.64948e+1,1.11862e+1
2.49804e+1,1.21296e+1
3.97877e+1,1.38825e+1
6.33723e+1,1.57630e+1
9.67207e+1,1.81423e+1
1.26403e+2,2.17853e+1
1.43664e+2,2.56026e+1
1.57070e+2,2.98527e+1
1.68428e+2,3.46194e+1
1.78519e+2,3.98391e+1
1.88481e+2,4.59097e+1
1.97462e+2,5.23705e+1
2.06870e+2,5.96205e+1
2.55749e+2,6.42217e+1
3.83308e+2,6.74881e+1
6.10517e+2,7.20310e+1
9.72408e+2,7.68696e+1
1.54881e+3,8.13892e+1
2.46689e+3,8.45012e+1
3.92836e+3,8.60945e+1
6.76304e+3,8.69640e+1
1.14616e+4,8.76332e+1
1.88648e+4,8.91962e+1
2.81695e+4,9.22481e+1
4.45503e+4,9.70915e+1
7.09580e+4,1.02019e+2
1.13019e+5,1.05226e+2
1.82618e+5,1.06878e+2
2.99795e+5,1.07442e+2
5.19032e+5,1.07758e+2
8.75735e+5,1.07758e+2
