# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 504.931 h/Mpc,
# number of wavenumbers equal to 739
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.678499479023e-04       1.110784555390e+03 
       2.740889746712e-04       1.135677328333e+03 
       2.804733270425e-04       1.161123682640e+03 
       2.870063900842e-04       1.187135645550e+03 
       2.936916277130e-04       1.213725485632e+03 
       3.005325845302e-04       1.240905719817e+03 
       3.075328877018e-04       1.268689114939e+03 
       3.146962488811e-04       1.297088692939e+03 
       3.220264661771e-04       1.326117732918e+03 
       3.295274261679e-04       1.355789776678e+03 
       3.372031059620e-04       1.386118632063e+03 
       3.450575753062e-04       1.417118375213e+03 
       3.530949987442e-04       1.448803355799e+03 
       3.613196378243e-04       1.481188203531e+03 
       3.697358533591e-04       1.514287822308e+03 
       3.783481077373e-04       1.548117404531e+03 
       3.871609672902e-04       1.582692429535e+03 
       3.961791047127e-04       1.618028667920e+03 
       4.054073015406e-04       1.654142182951e+03 
       4.148504506860e-04       1.691049338376e+03 
       4.245135590315e-04       1.728766797631e+03 
       4.344017500850e-04       1.767311529105e+03 
       4.445202666965e-04       1.806700809332e+03 
       4.548744738373e-04       1.846952225548e+03 
       4.654698614451e-04       1.888083676792e+03 
       4.763120473347e-04       1.930113381553e+03 
       4.874067801765e-04       1.973059878000e+03 
       4.987599425447e-04       2.016942024016e+03 
       5.103775540364e-04       2.061779005458e+03 
       5.222657744628e-04       2.107590331188e+03 
       5.344309071159e-04       2.154395842041e+03 
       5.468794021099e-04       2.202215713216e+03 
       5.596178598018e-04       2.251070448386e+03 
       5.726530342903e-04       2.300980890637e+03 
       5.859918369976e-04       2.351968216652e+03 
       5.996413403334e-04       2.404053944258e+03 
       6.136087814450e-04       2.457259928290e+03 
       6.279015660546e-04       2.511608366509e+03 
       6.425272723857e-04       2.567121795213e+03 
       6.574936551816e-04       2.623823093956e+03 
       6.728086498164e-04       2.681735476547e+03 
       6.884803765030e-04       2.740882505433e+03 
       7.045171445983e-04       2.801288073685e+03 
       7.209274570091e-04       2.862976417586e+03 
       7.377200147002e-04       2.925972105922e+03 
       7.549037213080e-04       2.990300038659e+03 
       7.724876878611e-04       3.055985441487e+03 
       7.904812376114e-04       3.123053875556e+03 
       8.088939109772e-04       3.191531211113e+03 
       8.277354706015e-04       3.261443632438e+03 
       8.470159065288e-04       3.332817638570e+03 
       8.667454415012e-04       3.405680019173e+03 
       8.869345363795e-04       3.480057857103e+03 
       9.075938956889e-04       3.555978520811e+03 
       9.287344732953e-04       3.633469643686e+03 
       9.503674782126e-04       3.712559127036e+03 
       9.725043805465e-04       3.793275100352e+03 
       9.951569175755e-04       3.875645936994e+03 
       1.018337099975e-03       3.959700240295e+03 
       1.042057218184e-03       4.045466788842e+03 
       1.066329848923e-03       4.132974561342e+03 
       1.091167861863e-03       4.222252681162e+03 
       1.116584426446e-03       4.313330460023e+03 
       1.142593018872e-03       4.406237288547e+03 
       1.169207429241e-03       4.501002687972e+03 
       1.196441768865e-03       4.597656251414e+03 
       1.224310477751e-03       4.696227619927e+03 
       1.252828332259e-03       4.796746510353e+03 
       1.282010452931e-03       4.899242592051e+03 
       1.311872312515e-03       5.003745555953e+03 
       1.342429744164e-03       5.110280853817e+03 
       1.373698949832e-03       5.218871290742e+03 
       1.405696508867e-03       5.329556617084e+03 
       1.438439386797e-03       5.442366115881e+03 
       1.471944944330e-03       5.557328810116e+03 
       1.506230946556e-03       5.674473566036e+03 
       1.541315572367e-03       5.793828949565e+03 
       1.577217424096e-03       5.915423266212e+03 
       1.613955537381e-03       6.039284375259e+03 
       1.651549391254e-03       6.165439839508e+03 
       1.690018918476e-03       6.293916735078e+03 
       1.729384516098e-03       6.424741622436e+03 
       1.769667056282e-03       6.557940488640e+03 
       1.810887897364e-03       6.693538734119e+03 
       1.853068895178e-03       6.831561042610e+03 
       1.896232414650e-03       6.972031438243e+03 
       1.940401341647e-03       7.114973003680e+03 
       1.985599095119e-03       7.260408120926e+03 
       2.031849639514e-03       7.408358250773e+03 
       2.079177497483e-03       7.558843536240e+03 
       2.127607762882e-03       7.711883666549e+03 
       2.177166114080e-03       7.867496580428e+03 
       2.227878827569e-03       8.025699369766e+03 
       2.279772791902e-03       8.186507693107e+03 
       2.332875521946e-03       8.349936071249e+03 
       2.387215173470e-03       8.515997264975e+03 
       2.442820558078e-03       8.684702616251e+03 
       2.499721158481e-03       8.856061638209e+03 
       2.557947144129e-03       9.030082736281e+03 
       2.617529387212e-03       9.206771342704e+03 
       2.678499479023e-03       9.386132254990e+03 
       2.740889746712e-03       9.568167534868e+03 
       2.804733270425e-03       9.752877120827e+03 
       2.870063900842e-03       9.940258572087e+03 
       2.936916277130e-03       1.013030795376e+04 
       3.005325845302e-03       1.032301699660e+04 
       3.075328877018e-03       1.051837660924e+04 
       3.146962488811e-03       1.071637495727e+04 
       3.220264661771e-03       1.091699605417e+04 
       3.295274261679e-03       1.112022131267e+04 
       3.372031059620e-03       1.132602977014e+04 
       3.450575753062e-03       1.153439660154e+04 
       3.530949987442e-03       1.174529356282e+04 
       3.613196378243e-03       1.195868847357e+04 
       3.697358533591e-03       1.217454702310e+04 
       3.783481077373e-03       1.239282848853e+04 
       3.871609672902e-03       1.261349197841e+04 
       3.961791047127e-03       1.283648858634e+04 
       4.054073015406e-03       1.306176820910e+04 
       4.148504506860e-03       1.328927334615e+04 
       4.245135590315e-03       1.351894565569e+04 
       4.344017500850e-03       1.375071921819e+04 
       4.445202666965e-03       1.398452443658e+04 
       4.548744738373e-03       1.422028689593e+04 
       4.654698614451e-03       1.445792805343e+04 
       4.763120473347e-03       1.469732550235e+04 
       4.874067801765e-03       1.493844710474e+04 
       4.987599425447e-03       1.518119004422e+04 
       5.103775540364e-03       1.542542483264e+04 
       5.222657744628e-03       1.567100665045e+04 
       5.344309071159e-03       1.591795443966e+04 
       5.468794021099e-03       1.616608001925e+04 
       5.596178598018e-03       1.641521507254e+04 
       5.726530342903e-03       1.666450077653e+04 
       5.859918369976e-03       1.691529953134e+04 
       5.996413403334e-03       1.716667334477e+04 
       6.136087814450e-03       1.741850321670e+04 
       6.279015660546e-03       1.767078546313e+04 
       6.425272723857e-03       1.792345416977e+04 
       6.574936551816e-03       1.817553484422e+04 
       6.728086498164e-03       1.842743954427e+04 
       6.884803765030e-03       1.867896033852e+04 
       7.045171445983e-03       1.892985863246e+04 
       7.209274570091e-03       1.917985821910e+04 
       7.377200147002e-03       1.942878688883e+04 
       7.549037213080e-03       1.967646471773e+04 
       7.724876878611e-03       1.992311681462e+04 
       7.904812376114e-03       2.016748756680e+04 
       8.088939109772e-03       2.040983661848e+04 
       8.277354706015e-03       2.064995093973e+04 
       8.470159065288e-03       2.088748780607e+04 
       8.667454415012e-03       2.112218729178e+04 
       8.869345363795e-03       2.135374267371e+04 
       9.075938956889e-03       2.158186181422e+04 
       9.287344732953e-03       2.180626470060e+04 
       9.503674782126e-03       2.202663375310e+04 
       9.725043805465e-03       2.224265020414e+04 
       9.951569175755e-03       2.245388767529e+04 
       1.018337099975e-02       2.266008576988e+04 
       1.042057218184e-02       2.286089848080e+04 
       1.066329848923e-02       2.305598673931e+04 
       1.091167861863e-02       2.324478655163e+04 
       1.116584426446e-02       2.342715325608e+04 
       1.142593018872e-02       2.360267391271e+04 
       1.169207429241e-02       2.377073711390e+04 
       1.196441768865e-02       2.393112281981e+04 
       1.224310477751e-02       2.408347744469e+04 
       1.252828332259e-02       2.422729149442e+04 
       1.282010452931e-02       2.436217735668e+04 
       1.311872312515e-02       2.448772919853e+04 
       1.342429744164e-02       2.460342132699e+04 
       1.373698949832e-02       2.470894270053e+04 
       1.405696508867e-02       2.480394657219e+04 
       1.438439386797e-02       2.488773169287e+04 
       1.471944944330e-02       2.496016168455e+04 
       1.506230946558e-02       2.502063862163e+04 
       1.541315572371e-02       2.506882264086e+04 
       1.577217424107e-02       2.510361199129e+04 
       1.613955537406e-02       2.512675617906e+04 
       1.651549391311e-02       2.513487540277e+04 
       1.690018918601e-02       2.513087750142e+04 
       1.729384516368e-02       2.511169002955e+04 
       1.769667056852e-02       2.507814117629e+04 
       1.810887898544e-02       2.502987143126e+04 
       1.853068897578e-02       2.496638948135e+04 
       1.896232419439e-02       2.488752424480e+04 
       1.940401351030e-02       2.479320694938e+04 
       1.985599113172e-02       2.468316865449e+04 
       2.031849673634e-02       2.455660077628e+04 
       2.079177560859e-02       2.441566514901e+04 
       2.127607878609e-02       2.425693379358e+04 
       2.177166321905e-02       2.408349205524e+04 
       2.227879194743e-02       2.389387779990e+04 
       2.279773430320e-02       2.368873719697e+04 
       2.332876614762e-02       2.346814345109e+04 
       2.387217015714e-02       2.323211801187e+04 
       2.442823617584e-02       2.298174936253e+04 
       2.499726165799e-02       2.271566463102e+04 
       2.557955223028e-02       2.243639832368e+04 
       2.617542241085e-02       2.214399952608e+04 
       2.678519652978e-02       2.183775355656e+04 
       2.740920990374e-02       2.152000968615e+04 
       2.804781032552e-02       2.119108632422e+04 
       2.870135993613e-02       2.085156863783e+04 
       2.937023755225e-02       2.050271605763e+04 
       3.005484152519e-02       2.014529270555e+04 
       3.075559320676e-02       1.978064492952e+04 
       3.147294109297e-02       1.940979245287e+04 
       3.220736570731e-02       1.903385302307e+04 
       3.295938527051e-02       1.865419705250e+04 
       3.372956218355e-02       1.827187873586e+04 
       3.451851032541e-02       1.788845041407e+04 
       3.532690313687e-02       1.750511652159e+04 
       3.615548242745e-02       1.712321921553e+04 
       3.700506780631e-02       1.674389328472e+04 
       3.787656659955e-02       1.636847171025e+04 
       3.877098407895e-02       1.599838441401e+04 
       3.968943379088e-02       1.563462490133e+04 
       4.063314774132e-02       1.527838624245e+04 
       4.160348616365e-02       1.493081913440e+04 
       4.260194657278e-02       1.459279088681e+04 
       4.363017179152e-02       1.426531369057e+04 
       4.468995662542e-02       1.394917453992e+04 
       4.578325286104e-02       1.364494892564e+04 
       4.691217227199e-02       1.335330441523e+04 
       4.807898733904e-02       1.307394383987e+04 
       4.928612942750e-02       1.280762488457e+04 
       5.053618422002e-02       1.255408620489e+04 
       5.183188427704e-02       1.231312808646e+04 
       5.317609869246e-02       1.208324637164e+04 
       5.457181992692e-02       1.186321418595e+04 
       5.602214803235e-02       1.165214807371e+04 
       5.753027262252e-02       1.144706222180e+04 
       5.909945308596e-02       1.124502481408e+04 
       6.073299766707e-02       1.104362809644e+04 
       6.243424214662e-02       1.083781274571e+04 
       6.420652892016e-02       1.062447971716e+04 
       6.605318729337e-02       1.039840735677e+04 
       6.797751578115e-02       1.015527336220e+04 
       6.998276711268e-02       9.890365732871e+03 
       7.207213651499e-02       9.601022625516e+03 
       7.424875368322e-02       9.284386919128e+03 
       7.651567866437e-02       8.939866625205e+03 
